Title	Photographer	Contributors	Summary	Note	Subject	Genre	Date	Coverage - Temporal	Location	Physical Description	Language	Repository	Collection Title	Collection No.	Series	Container	Editor	Attention	Rights	Copyright	Object ID	Digital ID	Type	Format	Hardware	Software	Directory	File Size	Width	Height	Checksum	Color Space	BitDepth	Resolution	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
President Jay Pearson and business leaders at Top Management Seminar				Written on verso: "Left to right: Mr. Lester R. Bittel, Editor in Chief, Factory; Dr. Jay F.W. Pearson; Mr. John Foskett, President, American Screen Products; Dr. Harold B. Maynard, President, H.B. Maynard and Co., Inc.; and Mr. Louis E. Newman, President, Smithcraft, Inc."		Photographs	1959	1950-1960	Coral Gables (Florida)	1 b&w photograph; 25.5 x 20.6 cm.	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	0642	Series IX: Alumni and Other Support Organziations	Box No. 1;  Folder No. 3;  Folder Title: Administration - Top Management Seminar.   Folder Date: 1959	cme; AL		© 2006 University of Miami. All rights reserved.	http://merrick.library.miami.edu/digitalprojects/copyright.html		asu06420300560001001	Image	image/tiff													2009-06-03	2011-02-02	http://merrick.library.miami.edu:80/cdm/ref/collection/umservice/id/83	83	72.jp2	/umservice/image/72.jp2
Virginia Apelgren, cafeteria general staff manager				Written on verso: "Mrs. Virginia Apelgren general staff manager of cafeteria Oct. 28, 1949"		Photographs	1949-10-28	1940-1950	Coral Gables (Florida)	1 b&w photograph; 20.3 x 25.8 cm	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	0642	Series IX: Alumni and Other Support Organziations	Box No. 1;  Folder No. 34;  Folder Title: Cafeteria 1 Food Services.   Folder Date: N.D.	cme; AL		© 2006 University of Miami. All rights reserved.	http://merrick.library.miami.edu/digitalprojects/copyright.html		asu06420301070001001	Image	image/tiff													2009-06-03	2011-02-02	http://merrick.library.miami.edu:80/cdm/ref/collection/umservice/id/84	84	95.jp2	/umservice/image/95.jp2
Inside the University of Miami bookstore				Written on front: "3"; Written on verso: "Second Floor University of Miami Bookstore Coral Gables, Florida 33124"		Photographs		1950-1960	Coral Gables (Florida)	1 b&w photograph; 20.6 x 25.2 cm	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	0642	Series IX: Alumni and Other Support Organziations	Box No. 1;  Folder No. 29;  Folder Title: Bookstore 2.   Folder Date: N.D.	AL		© 2006 University of Miami. All rights reserved.	http://merrick.library.miami.edu/digitalprojects/copyright.html		asu06420300930001001	Image	image/tiff													2009-06-03	2011-02-02	http://merrick.library.miami.edu:80/cdm/ref/collection/umservice/id/85	85	12.jp2	/umservice/image/12.jp2
Career books in the Placement Center				Written on verso: "Placement 6/59"		Photographs	1959-06	1950-1960	Coral Gables (Florida)	1 b&w photograph; 25.4 x 20.7 cm	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	0642	Series IX: Alumni and Other Support Organziations	Box No. 2;  Folder No. 31;  Folder Title: Placement.   Folder Date: 1958,1959,1967	cme; AL		© 2006 University of Miami. All rights reserved.	http://merrick.library.miami.edu/digitalprojects/copyright.html		asu06420300310001001	Image	image/tiff													2009-06-03	2011-02-02	http://merrick.library.miami.edu:80/cdm/ref/collection/umservice/id/86	86	93.jp2	/umservice/image/93.jp2
Nellie Charles, cafeteria baker				Written on verso: "Cafeteria feature - didn't use"; "Nellie Charles, Baker"		Photographs		1940-1950	Coral Gables (Florida)	1 b&w photograph; 25.8 x 20.3 cm	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	0642	Series IX: Alumni and Other Support Organziations	Box No. 1;  Folder No. 34;  Folder Title: Cafeteria 1 Food Services.   Folder Date: N.D.	cme; AL		© 2006 University of Miami. All rights reserved.	http://merrick.library.miami.edu/digitalprojects/copyright.html		asu06420301050001001	Image	image/tiff													2009-06-03	2011-02-02	http://merrick.library.miami.edu:80/cdm/ref/collection/umservice/id/87	87	17.jp2	/umservice/image/17.jp2
A faculty member and student in the Placement Center				Written on verso: "Placement 6/59"		Photographs	1959-06	1950-1960	Coral Gables (Florida)	1 b&w photograph; 25.4 x 20.7 cm	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	0642	Series IX: Alumni and Other Support Organziations	Box No. 2;  Folder No. 31;  Folder Title: Placement.   Folder Date: 1958,1959,1967	AL		© 2006 University of Miami. All rights reserved.	http://merrick.library.miami.edu/digitalprojects/copyright.html		asu06420300320001001	Image	image/tiff													2009-06-03	2011-02-02	http://merrick.library.miami.edu:80/cdm/ref/collection/umservice/id/88	88	85.jp2	/umservice/image/85.jp2
President Jay Pearson and business leaders at Top Management Seminar	Twaddell, Ken			Written on verso: "Left to right; hon. Arthur B. Langlie, President, McCall Corporation; Mr. John C. Bosted, General manager and Treasurer, National Association of Manufactures; Mf. H.C. Ramsey, Chairman of the Board, Worthngton Corporation; and Dr. Jay F.W. Pearson."		Photographs	1959	1950-1960	Coral Gables (Florida)	1 b&w photograph; 20.6 x 25.4.	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	0642	Series IX: Alumni and Other Support Organziations	Box No. 1;  Folder No. 3;  Folder Title: Administration - Top Management Seminar.   Folder Date: 1959	AL		© 2006 University of Miami. All rights reserved.	http://merrick.library.miami.edu/digitalprojects/copyright.html		asu06420300580001001	Image	image/tiff													2009-06-03	2011-02-02	http://merrick.library.miami.edu:80/cdm/ref/collection/umservice/id/89	89	2.jp2	/umservice/image/2.jp2
Group photograph of bookstore staff						Photographs			Coral Gables (Florida)	1 b&w photograph; 25.4 x 20.6 cm		University of Miami. University Archives.	University of Miami Historical Photograph Collection	0642	Series IX: Alumni and Other Support Organziations	Box No. 1;  Folder No. 29;  Folder Title: Bookstore 2.   Folder Date: N.D.	cme; AL		© 2006 University of Miami. All rights reserved.	http://merrick.library.miami.edu/digitalprojects/copyright.html		asu06420300870001001	Image	image/tiff													2009-06-03	2011-02-02	http://merrick.library.miami.edu:80/cdm/ref/collection/umservice/id/90	90	50.jp2	/umservice/image/50.jp2
Guidance counselor and student				Written on verso: "Guidance Center 1964"		Photographs	1964	1960-1970	Coral Gables (Florida)	1 b&w photograph; 25.4 x 20.7 cm	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	0642	Series IX: Alumni and Other Support Organziations	Box No. 2;  Folder No. 21;  Folder Title: Guidance Center.   Folder Date: 1964	AL		© 2006 University of Miami. All rights reserved.	http://merrick.library.miami.edu/digitalprojects/copyright.html		asu06420300230001001	Image	image/tiff													2009-06-03	2011-02-02	http://merrick.library.miami.edu:80/cdm/ref/collection/umservice/id/91	91	47.jp2	/umservice/image/47.jp2
Ulysses Davis, computer operator, in the Ungar Computer Center	Schnier, Sanford			Written on page attached to verso: "--University of Miami Photo.  Ulysses Davis, computer operator at the Ungar Computer Center, University of Miami, operating a 9300 printer and reader.  The Center utilizes a UNIVAC 1106 system.  10/11/72--University of Miami News Bureau Sanford Schnier 284-4073"		Photographs	1972-10-11	1970-1980	Coral Gables (Florida)	1 b&w photograph; 25.3 x 20.6 cm	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	0642	Series IX: Alumni and Other Support Organziations	Box No. 2;  Folder No. 12;  Folder Title: Computer Center.   Folder Date: 1972	AL		© 2006 University of Miami. All rights reserved.	http://merrick.library.miami.edu/digitalprojects/copyright.html		asu06420300160001001	Image	image/tiff													2009-06-03	2011-02-02	http://merrick.library.miami.edu:80/cdm/ref/collection/umservice/id/92	92	94.jp2	/umservice/image/94.jp2
