Title	Photographer	Contributors	Summary	Note	Subject	Genre	Date	Coverage Temporal	Coverage Spatial	Physical Description	Language	Repository	Collection Title	Collection No.	Series	Container	Editor	Rights	Copyright	Object ID	Digital ID	Type	Format	Hardware	Software	Directory	File Size	Width	Height	Checksum	Color Space	Bit Depth	Resolution	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Wesley A. Sturges, Dean of the School of Law	Blakeley, Ron			On verso: "Dr. Wesley A. Sturges; Dean, School of Law"		Portrait photographs			Coral Gables (Florida)	1 B&W photograph; 25.4 x 20.6 cm.	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series VII: Administrators, Deans, Faculty, and Presidents	Box No. 3; Folder No. 15; Folder Title: Dean: Sturges, Wesley- Law.			http://merrick.library.miami.edu/digitalprojects/copyright.html		asu06420250420001001	Image	image/tiff													2009-07-01	2012-08-30	http://merrick.library.miami.edu:80/cdm/ref/collection/umpeople/id/241	241	35.jp2	/umpeople/image/35.jp2
Mischa Elmanz, Professor of Music				On verso: "Mischa Elmanz; Music 1948"		Portrait hotographs	1948	1940-1950	Coral Gables (Florida)	1 b&w photograph; 18.2 x 18.2 cm	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series VII: Administrators, Deans, Faculty, and Presidents	Box No. 6; Folder No. 27; Folder Title: Faculty: Individual Photos (E). Folder Date: n.d.			http://merrick.library.miami.edu/digitalprojects/copyright.html		asu06420254000001001	Image	image/tiff													2009-07-01	2012-08-30	http://merrick.library.miami.edu:80/cdm/ref/collection/umpeople/id/242	242	381.jp2	/umpeople/image/381.jp2
Robert Downes, Professor of Economics	Compton, Henry Grant			On verso: "Robert Downes - (profile) 1949 Nov Tempo"		Portrait photographs	1949-11	1940-1950	Coral Gables (Florida)	1 b&w photograph; 20.2 x 25.2 cm.	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series VII: Administrators, Deans, Faculty, and Presidents	Box No. 5; Folder No. 28; Folder Title: Faculty: Downes, Robert - Economics. Folder Date: Various			http://merrick.library.miami.edu/digitalprojects/copyright.html		asu06420250600001001	Image	image/tiff													2009-07-01	2012-08-30	http://merrick.library.miami.edu:80/cdm/ref/collection/umpeople/id/244	244	519.jp2	/umpeople/image/519.jp2
Barton A. Westerlund, Faculty Advisor	Sabatino, Joseph			On verso: "Advisor - (1951) Westerlund, Barton A."		Photographs	1950-27-02	1950-1960	Coral Gables (Florida)	1 b&w photograph; 25.7 x 20.2 cm.	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series VII: Administrators, Deans, Faculty, and Presidents	Box No. 1; Folder No. 11; Folder Title: Advisors: Individual Photos. Folder Date: N.D.			http://merrick.library.miami.edu/digitalprojects/copyright.html		asu06420250060001001	Image	image/tiff													2009-07-01	2012-08-30	http://merrick.library.miami.edu:80/cdm/ref/collection/umpeople/id/245	245	6.jp2	/umpeople/image/6.jp2
Granville Fisher, Professor of Psychology				On verso: "Dr. Granville Fisher; Chairman - Psychology dept."		Photographs			Coral Gables (Florida)	1 b&w photograph; 20.3 x 25.7 cm	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series VII: Administrators, Deans, Faculty, and Presidents	Box No. 5; Folder No. 37; Folder Title: Faculty: Fisher, Granville - Psychology. Folder Date: n.d.			http://merrick.library.miami.edu/digitalprojects/copyright.html		asu06420250870001001	Image	image/tiff													2009-07-01	2012-08-30	http://merrick.library.miami.edu:80/cdm/ref/collection/umpeople/id/247	247	224.jp2	/umpeople/image/224.jp2
Bust of Bowman Foster Ashe, 1st President of the University of Miami				On verso: "May be a study done for the statue in front of Beaumont, or may have been done by Upton Ewing"		Photographs; Sculpture			Coral Gables (Florida)	1 b&w photograph; 20.6 x 25.3 cm.	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series VII: Administrators, Deans, Faculty, and Presidents	Box No. 11; Folder No. 26; Folder Title: President: (n.d.) Ashe, Bowman Foster 3. Folder Date: n.d.			http://merrick.library.miami.edu/digitalprojects/copyright.html		asu06420253540001001	Image	image/tiff													2009-07-01	2012-08-30	http://merrick.library.miami.edu:80/cdm/ref/collection/umpeople/id/248	248	424.jp2	/umpeople/image/424.jp2
Craig Voigt, Professor of Engineering				On verso: "Dec. 1966"		Portrait photographs	1966-12	1960-1970	Coral Gables (Florida)	1 b&w photograph; 3.9 x 3.5 cm.	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series VII: Administrators, Deans, Faculty, and Presidents	Box No. 7; Folder No. 13; Folder Title: Faculty: Individual Photos (V). Folder Date: n.d.			http://merrick.library.miami.edu/digitalprojects/copyright.html		asu06420254830001001	Image	image/tiff													2009-07-01	2012-08-30	http://merrick.library.miami.edu:80/cdm/ref/collection/umpeople/id/249	249	210.jp2	/umpeople/image/210.jp2
George Merrick, Founder of the University of Miami				On verso: "George Merrick"		Portrait photographs			Coral Gables (Florida)	1 b&w photograph; 17.8 x 12.9 cm.	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series VII: Administrators, Deans, Faculty, and Presidents	Box No. 10; Folder No. 15; Folder Title: Founder: Merrick, George.			http://merrick.library.miami.edu/digitalprojects/copyright.html		asu06420252260001001	Image	image/tiff													2009-07-01	2012-08-30	http://merrick.library.miami.edu:80/cdm/ref/collection/umpeople/id/250	250	263.jp2	/umpeople/image/263.jp2
Archie L. McNeal, Director of Libraries				On verso: "Archie McNeal"		Portrait photographs			Coral Gables (Florida)	1 b&w photograph; 25.3 x 20.4 cm.	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series VII: Administrators, Deans, Faculty, and Presidents	Box No. 4; Folder No. 17; Folder Title: Director: McNeal, Archie L.- Libraries 2nd.			http://merrick.library.miami.edu/digitalprojects/copyright.html		asu06420250560001001	Image	image/tiff													2009-07-01	2012-08-30	http://merrick.library.miami.edu:80/cdm/ref/collection/umpeople/id/251	251	258.jp2	/umpeople/image/258.jp2
Gloria de la Vega, Professor of Foreign Languages, Spanish, with a class				On verso: "Standing: Gloria de la Vega Instructor in Spanish; circa 1946"		Photographs	1946	1940-1950	Coral Gables (Florida)	1 b&w photograph; 25.4 x 20.6 cm	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series VII: Administrators, Deans, Faculty, and Presidents	Box No. 6; Folder No. 26; Folder Title: Faculty: Individual Photos (D). Folder Date: n.d.			http://merrick.library.miami.edu/digitalprojects/copyright.html		asu06420253920001001	Image	image/tiff													2009-07-01	2012-08-30	http://merrick.library.miami.edu:80/cdm/ref/collection/umpeople/id/252	252	183.jp2	/umpeople/image/183.jp2
