Title	Subject	Description	Creator	Genre	Publisher	Date	Repository	Collection Title	Collection No.	Container	Copyright	Digital ID	Object ID	Type	Format	File Size	Width	Height	Checksum	Color space	Hardware	Software	BitDepth	Resolution	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Scrapbook. May 1927 - July 1929.			Coral Gables Garden Club	Clippings; Scrapbooks			University of Miami Libraries. Special Collections.	Coral Gables Garden Club	ASM5000		http://merrick.library.miami.edu/digitalprojects/copyright.html	asm50000000010022001	asm5000000001	Image	image/tiff	13084.495 KB	5128	6646	0x67B5532C	RGB	EPSON Expression 10000 XL	EPSON Scan Ver. 3.02A	24-bit color	600 dpi		2012-11-12	2012-11-12	http://merrick.library.miami.edu:80/cdm/ref/collection/asm5000/id/236	236	649.jp2	/asm5000/image/649.jp2
Scrapbook. May 1927 - July 1929.			Coral Gables Garden Club	Clippings; Scrapbooks			University of Miami Libraries. Special Collections.	Coral Gables Garden Club	ASM5000		http://merrick.library.miami.edu/digitalprojects/copyright.html	asm50000000010023001	asm5000000001	Image	image/tiff	16805.624 KB	5120	6503	0x62F0EED3	RGB	EPSON Expression 10000 XL	EPSON Scan Ver. 3.02A	24-bit color	600 dpi		2012-11-12	2012-11-12	http://merrick.library.miami.edu:80/cdm/ref/collection/asm5000/id/237	237	650.jp2	/asm5000/image/650.jp2
Scrapbook. May 1927 - July 1929.			Coral Gables Garden Club	Clippings; Scrapbooks			University of Miami Libraries. Special Collections.	Coral Gables Garden Club	ASM5000		http://merrick.library.miami.edu/digitalprojects/copyright.html	asm50000000010024001	asm5000000001	Image	image/tiff	16087.725 KB	5200	6646	0xFA989736	RGB	EPSON Expression 10000 XL	EPSON Scan Ver. 3.02A	24-bit color	600 dpi		2012-11-12	2012-11-12	http://merrick.library.miami.edu:80/cdm/ref/collection/asm5000/id/238	238	651.jp2	/asm5000/image/651.jp2
Scrapbook. May 1927 - July 1929.			Coral Gables Garden Club	Clippings; Scrapbooks			University of Miami Libraries. Special Collections.	Coral Gables Garden Club	ASM5000		http://merrick.library.miami.edu/digitalprojects/copyright.html	asm50000000010025001	asm5000000001	Image	image/tiff	21864.373 KB	5200	6646	0x5CF7AB2D	RGB	EPSON Expression 10000 XL	EPSON Scan Ver. 3.02A	24-bit color	600 dpi		2012-11-12	2012-11-12	http://merrick.library.miami.edu:80/cdm/ref/collection/asm5000/id/239	239	652.jp2	/asm5000/image/652.jp2
Scrapbook. May 1927 - July 1929.			Coral Gables Garden Club	Clippings; Scrapbooks			University of Miami Libraries. Special Collections.	Coral Gables Garden Club	ASM5000		http://merrick.library.miami.edu/digitalprojects/copyright.html	asm50000000010026001	asm5000000001	Image	image/tiff	16098.356 KB	5200	6646	0x31585273	RGB	EPSON Expression 10000 XL	EPSON Scan Ver. 3.02A	24-bit color	600 dpi		2012-11-12	2012-11-12	http://merrick.library.miami.edu:80/cdm/ref/collection/asm5000/id/240	240	653.jp2	/asm5000/image/653.jp2
Scrapbook. May 1927 - July 1929.			Coral Gables Garden Club	Clippings; Scrapbooks			University of Miami Libraries. Special Collections.	Coral Gables Garden Club	ASM5000		http://merrick.library.miami.edu/digitalprojects/copyright.html	asm50000000010027001	asm5000000001	Image	image/tiff	15707.079 KB	5135	6551	0xA127EE39	RGB	EPSON Expression 10000 XL	EPSON Scan Ver. 3.02A	24-bit color	600 dpi		2012-11-12	2012-11-12	http://merrick.library.miami.edu:80/cdm/ref/collection/asm5000/id/241	241	654.jp2	/asm5000/image/654.jp2
Scrapbook. May 1927 - July 1929.			Coral Gables Garden Club	Clippings; Scrapbooks			University of Miami Libraries. Special Collections.	Coral Gables Garden Club	ASM5000		http://merrick.library.miami.edu/digitalprojects/copyright.html	asm50000000010028001	asm5000000001	Image	image/tiff	13214.967 KB	5199	6646	0x7CB11140	RGB	EPSON Expression 10000 XL	EPSON Scan Ver. 3.02A	24-bit color	600 dpi		2012-11-12	2012-11-12	http://merrick.library.miami.edu:80/cdm/ref/collection/asm5000/id/242	242	655.jp2	/asm5000/image/655.jp2
Scrapbook. May 1927 - July 1929.			Coral Gables Garden Club	Clippings; Scrapbooks			University of Miami Libraries. Special Collections.	Coral Gables Garden Club	ASM5000		http://merrick.library.miami.edu/digitalprojects/copyright.html	asm50000000010029001	asm5000000001	Image	image/tiff	20739.261 KB	5024	6480	0x6516F722	RGB	EPSON Expression 10000 XL	EPSON Scan Ver. 3.02A	24-bit color	600 dpi		2012-11-12	2012-11-12	http://merrick.library.miami.edu:80/cdm/ref/collection/asm5000/id/243	243	656.jp2	/asm5000/image/656.jp2
Scrapbook. May 1927 - July 1929.			Coral Gables Garden Club	Clippings; Scrapbooks			University of Miami Libraries. Special Collections.	Coral Gables Garden Club	ASM5000		http://merrick.library.miami.edu/digitalprojects/copyright.html	asm50000000010030001	asm5000000001	Image	image/tiff	14319.031 KB	5200	6646	0xA4279A0A	RGB	EPSON Expression 10000 XL	EPSON Scan Ver. 3.02A	24-bit color	600 dpi		2012-11-12	2012-11-12	http://merrick.library.miami.edu:80/cdm/ref/collection/asm5000/id/244	244	657.jp2	/asm5000/image/657.jp2
Scrapbook. May 1927 - July 1929.			Coral Gables Garden Club	Clippings; Scrapbooks			University of Miami Libraries. Special Collections.	Coral Gables Garden Club	ASM5000		http://merrick.library.miami.edu/digitalprojects/copyright.html	asm50000000010031001	asm5000000001	Image	image/tiff	16915.902 KB	5024	6447	0xE984DBC7	RGB	EPSON Expression 10000 XL	EPSON Scan Ver. 3.02A	24-bit color	600 dpi		2012-11-12	2012-11-12	http://merrick.library.miami.edu:80/cdm/ref/collection/asm5000/id/245	245	658.jp2	/asm5000/image/658.jp2
