Title	Photographer	Contributors	Summary	Note	Subject	Genre	Date	Coverage Temporal	Location	Physical Description	Language	Repository	Collection Title	Collection No.	Series	Container	Copyright	Rights	Editor	Object ID	Hardware	Software	Directory	Digital ID	Type	Format	File Size	Width	Height	Checksum	Color Space	BitDepth	Resolution	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Mrs. Eleanor Roosevelt visit to University of Miami	Fisher, Ray			Written on verso: "Tempo April, 1953 page 4", "Mrs. Eleanor Roosevelt"		Photographs	1953-04	1950-1960	Coral Gables (Florida)	1 b&w photograph; 17.2 x 12.9 cm	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series IV: Events	Box No. 16; Folder No. 11; Folder Title: Visitor Roosevelt, Eleanor, 1953.	http://merrick.library.miami.edu/digitalprojects/copyright.html	© Ray Fisher. All rights reserved.	ccg					asu06420119460001001	Image	image/tiff	4581.538 KB	3053	4248	0x4992B32	RGB	24-bit depth	600 dpi			2009-01-27	2012-09-13	http://merrick.library.miami.edu:80/cdm/ref/collection/umevents/id/1609	1609	1826.jp2	/umevents/image/1826.jp2
John O. Moseley speaking on fraternity life	Fleming, Fred B.			Written on verso: "John O. Moseley, past National President of Sigma Alpha Epsilon, Director of Leadership school, founder of Green Week, Occasion: Speaking at I.F.C. Group on Fraternity life."		Photographs	1952	1950-1960	Coral Gables (Florida)	1 b&w photograph; 20.5 x 25.3 cm		University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series IV: Events	Box No. 16; Folder No. 10; Folder Title: Visitor, 1950s: 2.	http://merrick.library.miami.edu/digitalprojects/copyright.html		ccg		EPSON Expression 10000 XL - Photo	EPSON Scan Version 2.02 A		asu06420118800001001	Image	image/tiff	6297.644 KB	5084	6119	0xD31DFC47	RGB	24-bit depth	600 dpi			2009-01-27	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/umevents/id/1610	1610	1662.jp2	/umevents/image/1662.jp2
Registration Action Center						Photographs			Coral Gables (Florida)	1 b&w photograph	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series IV: Events	Box No. 15; Folder No. 16; Folder Title: Registration.	http://merrick.library.miami.edu/digitalprojects/copyright.html		ccg		EPSON Expression 10000 XL - Photo	EPSON Scan Version 2.02 A		asu06420118170001001	Image	image/tiff	4045.792 KB	4325	3153	0x93A0174D	RGB	24-bit depth	600 dpi			2009-01-27	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/umevents/id/1611	1611	1599.jp2	/umevents/image/1599.jp2
Homecoming game at the Orange Bowl, 1967						Negatives	1967	1960-1970	Miami (Florida)	1 negative		University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series IV: Events	Box No. 11; Folder No. 5; Folder Title: Homecoming, 1967.	http://merrick.library.miami.edu/digitalprojects/copyright.html		ccg		EPSON Expression 10000 XL - Photo	EPSON Scan Version 2.02 A		asu06420115350001001	Image	image/tiff	4335.945 KB	3428	2294	0x2170420A	RGB	24-bit depth	600 dpi			2009-01-27	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/umevents/id/1612	1612	1914.jp2	/umevents/image/1914.jp2
Homecoming Law breakfast						Negatives	1969-11	1960-1970	Coral Gables ( Florida)	1 negative		University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series IV: Events	Box No. 11; Folder No. 8; Folder Title: Homecoming, 1969.	http://merrick.library.miami.edu/digitalprojects/copyright.html		ccg		EPSON Expression 10000 XL - Photo	EPSON Scan Version 2.02 A		asu06420115610001001	Image	image/tiff	4283.264 KB	3425	2312	0x3B28B8D0	RGB	24-bit depth	600 dpi			2009-01-27	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/umevents/id/1613	1613	1940.jp2	/umevents/image/1940.jp2
Registration, 1950				Written on verso: "Frosh '50."		Photographs	1950	1950-1960	Coral Gables (Florida)	1 b&w photograph; 25.3 x 20.6 cm	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series IV: Events	Box No. 15; Folder No. 10; Folder Title: Registration, 1946-1950.	http://merrick.library.miami.edu/digitalprojects/copyright.html		ccg					asu06420117990001001	Image	image/tiff	9124.674 KB	6232	4936	0x4E6568D2	RGB	24-bit depth	600 dpi			2009-01-27	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/umevents/id/1614	1614	1581.jp2	/umevents/image/1581.jp2
Guests at James Mochner Reception						Photographs	1989-09-08	1980-1990	Coral Gables ( Florida)	1 color photograph; 15 x 10 cm		University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series IV: Events	Box No. 15; Folder No. 7; Folder Title: Reception, 1989.	http://merrick.library.miami.edu/digitalprojects/copyright.html		ccg					asu06420117890001001	Image	image/tiff	3193.306 KB	3600	2452	0x5BB44173	RGB	24-bit depth	600 dpi			2009-01-27	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/umevents/id/1615	1615	1571.jp2	/umevents/image/1571.jp2
President Ashe and Louisiana State University officials			President Ashe seen standing second from right	Written on verso: "Officials from L.S.U, and Dr. Ashe"		Photographs		1940-1950	Miami (Florida)	1 b&w photograph; 26 x 20.3 cm	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series IV: Events	Box No. 16; Folder No. 7; Folder Title: Visitor, 1940s.	http://merrick.library.miami.edu/digitalprojects/copyright.html		ccg		EPSON Expression 10000 XL - Photo	EPSON Scan Version 2.02 A		asu06420118400001001	Image	image/tiff	10468.747 KB	6262	4920	0xCE7F9907	RGB	24-bit depth	600 dpi			2009-01-27	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/umevents/id/1616	1616	1622.jp2	/umevents/image/1622.jp2
Marjorie Sulman, Homecoming Queen candidate				Written on verso: "Marjorie Sulman"		Photographs			Coral Gables (Florida)	1 b&w photograph; 25.2 x 20.2 cm		University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series IV: Events	Box No. 13; Folder No. 4; Folder Title: Homecoming.	http://merrick.library.miami.edu/digitalprojects/copyright.html		ccg		EPSON Expression 10000 XL - Photo	EPSON Scan Version 2.02 A		asu06420116270001001	Image	image/tiff	9714.239 KB	5046	6263	0xF471C2EA	RGB	24-bit depth	600 dpi			2009-01-27	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/umevents/id/1617	1617	1409.jp2	/umevents/image/1409.jp2
Billy Graham visiting the University of Miami	Blakeley, Ron					Photographs	1961	1960-1970	Coral Gables ( Florida)	1 b&w photograph; 20.6 x 25.4 cm		University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series IV: Events	Box No. 16; Folder No. 16; Folder Title: Visitors: Billy Graham, 1961.	http://merrick.library.miami.edu/digitalprojects/copyright.html		ccg					asu06420119880001001	Image	image/tiff	10608.846 KB	5054	6140	0xF3AE93CC	RGB	24-bit depth	600 dpi			2009-01-27	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/umevents/id/1618	1618	1867.jp2	/umevents/image/1867.jp2
