Title	Creator	Note	Subject	Genre	Publisher	Date	Physical Description	Repository	Collection Title	Collection No.	Series	Container	Rights	Object No.	Directory	Digital ID	Type	Format	Width	Height	Checksum	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Collage of Clippings						May-Oct. 1906	1  3 clippings	University of Miami Libraries. Cuban Heritage Collection	Tomás Estrada Palma Collection.	CHC0460	Series I. Tomás Estrada Palma Papers, 1906-ca. 1970 (bulk dates 1902-1908).	Box No.: 2 Folder No.: 37 Folder Title: Clippings (Oversized). Folder Date: n.d. 1906-1908 1968	http://merrick.library.miami.edu/digitalprojects/copyright.html			chc04600008100001001	Text	image/tiff	4301	4921	0xBF5356A4	04600008100001001.tif		2006-12-09	2012-05-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0460/id/178	178	237.jp2	/chc0460/image/237.jp2
Carlos Estrada Palma?			Estrada Palma, Tomás, II; Nineteen century clothing	Photograph		[not before 1889]	1 sepia photograph	University of Miami Libraries. Cuban Heritage Collection	Tomás Estrada Palma Collection.	CHC0460	Series IV. Photographs, ca. 1880-1956.	Box No.: 1 Folder No.: 21 Folder Title: Estrada Palma Family. Folder Date: n.d.	http://merrick.library.miami.edu/digitalprojects/copyright.html			chc04600001810001001	Image	image/tiff	1614	2586	0xA562E0E6	04600001810001001.tif		2006-12-09	2012-05-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0460/id/179	179	203.jp2	/chc0460/image/203.jp2
Candelaria Estrada Palma			Estrada Palma, Candelaria	Photograph		[ca. 1890]	1 b&w photograph	University of Miami Libraries. Cuban Heritage Collection	Tomás Estrada Palma Collection.	CHC0460	Series IV. Photographs, ca. 1880-1956.	Box No.: 1 Folder No.: 28 Folder Title: Candelaria Estrada Palma. Folder Date: ca. 1890 ca. 1902	http://merrick.library.miami.edu/digitalprojects/copyright.html			chc04600001890001001	Image	image/tiff	2610	3582	0xA11179AE	04600001890001001.tif		2006-12-09	2012-05-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0460/id/180	180	209.jp2	/chc0460/image/209.jp2
'Oak Hatch,' Spring Before We Left for Canaries.": "(Zöe's former home in Surrey where she loved her Garden - as most Britishers do)				Photograph		[ca. 1965]	1 col. photograph	University of Miami Libraries. Cuban Heritage Collection	Tomás Estrada Palma Collection.	CHC0460	Series IV. Photographs, ca. 1880-1956.	Box No.: 1 Folder No.: 30 Folder Title: Browne Family. Folder Date: n.d. 1922	http://merrick.library.miami.edu/digitalprojects/copyright.html			chc04600001500001001	Image	image/tiff	2202	2150	0x27615F8B	04600001500001001.tif		2006-12-09	2012-05-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0460/id/181	181	186.jp2	/chc0460/image/186.jp2
Veranda, Presidential Palace, Havana		Man in photo identified as "Luis."	Palacio Presidencial (Havana, Cuba)	Photograph		[ca. 1902]	1  photograph	University of Miami Libraries. Cuban Heritage Collection	Tomás Estrada Palma Collection.	CHC0460	Series IV. Photographs, ca. 1880-1956.	Box No.: 1 Folder No.: 36 Folder Title: Presidential Palace Cuba. Folder Date: n.d. ca. 1902	http://merrick.library.miami.edu/digitalprojects/copyright.html			chc04600005170001001	Image	image/tiff	2958	2460	0xD666F26B	04600005170001001.tif		2006-12-09	2012-05-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0460/id/182	182	217.jp2	/chc0460/image/217.jp2
José and Tomás Andrés Estrada Palma II		Photograph is in the shape of an ellipse	Estrada Palma, Manuel Jose; Estrada Palma, Tomás II	Photograph		[190-?]	1 b&w photograph	University of Miami Libraries. Cuban Heritage Collection	Tomás Estrada Palma Collection.	CHC0460	Series IV. Photographs, ca. 1880-1956.	Box No.: 1 Folder No.: 21 Folder Title: Estrada Palma Family. Folder Date: n.d.	http://merrick.library.miami.edu/digitalprojects/copyright.html			chc04600001670001001	Image	image/tiff	1683	1239	0x80D84A8F	04600001670001001.tif		2006-12-09	2012-05-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0460/id/183	183	196.jp2	/chc0460/image/196.jp2
Central Valley, New York, Baseball Team		Seated first from left is TEP II.  Standing third from left is José Estrada Palma.	Estrada Palma, Tomás, II; Estrada Palma, Manuel Jose	Photograph		[ca. 1900]	1 b&w photograph	University of Miami Libraries. Cuban Heritage Collection	Tomás Estrada Palma Collection.	CHC0460	Series IV. Photographs, ca. 1880-1956.	Box No.: 1 Folder No.: 21 Folder Title: Estrada Palma Family. Folder Date: n.d.	http://merrick.library.miami.edu/digitalprojects/copyright.html			chc04600001590001001	Image	image/tiff	2594	2322	0x84CE111E	04600001590001001.tif		2006-12-09	2012-05-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0460/id/184	184	190.jp2	/chc0460/image/190.jp2
Zöe and Clive, Christmas, 1922		Helen (Douglas Browne) Estrada Palma's half siblings.  Zöe later Mrs. K. A. Moulton-Barrett.		Photograph		[1922]	1 b&w photograph	University of Miami Libraries. Cuban Heritage Collection	Tomás Estrada Palma Collection.	CHC0460	Series IV. Photographs, ca. 1880-1956.	Box No.: 1 Folder No.: 30 Folder Title: Browne Family. Folder Date: n.d.  1922	http://merrick.library.miami.edu/digitalprojects/copyright.html			chc04600001440001001	Image	image/tiff	2142	2724	0x84296511	04600001440001001.tif		2006-12-09	2012-05-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0460/id/185	185	182.jp2	/chc0460/image/182.jp2
Sitting Portrait of Helen (Douglas Browne) Estrada Palma		On verso: "Helen D.  New York Apt.  'Carrying' baby (?)"	Estrada Palma, Helen D.	Photograph		[191-]	1 b&w photograph	University of Miami Libraries. Cuban Heritage Collection	Tomás Estrada Palma Collection.	CHC0460	Series IV. Photographs, ca. 1880-1956.	Box No.: 1 Folder No.: 29 Folder Title: Helen (Douglas Browne) Estrada Palma. Folder Date: n.d. 1909	http://merrick.library.miami.edu/digitalprojects/copyright.html			chc04600001640001001	Image	image/tiff	2284	2288	0x318AF476	04600001640001001.tif		2006-12-09	2012-05-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0460/id/186	186	194.jp2	/chc0460/image/194.jp2
Marriage Cerificate: Tomás Andrés Estrada Palma II and Helen Douglas Browne, Grace Church, New York	Grace Church (New York, New York)		Estrada Palma, Tomás, II; Estrada Palma, Helen D.	Marriage Certificate		20 Mar. 1953	1 item (p.)	University of Miami Libraries. Cuban Heritage Collection	Tomás Estrada Palma Collection.	CHC0460	Series II. Tomás Andrés Estrada Palma II Papers, 1902-1960. (bulk dates, 1906-1910).	Box No.: 1 Folder No.: 13 Folder Title: Documents. Folder Date: 1902-1944	http://merrick.library.miami.edu/digitalprojects/copyright.html			chc04600001250001001	Text	image/tiff	5358	6846	0xCE07CA20	04600001250001001.tif		2006-12-09	2012-05-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0460/id/187	187	168.jp2	/chc0460/image/168.jp2
