Title	Photographer	Summary	Note	Subject	Genre	Publisher	Date	Coverage	State	County	City	Place	Physical Description	Repository	Collection Title	Collection No.	Series	Container	Copyright	Rights	Directory	Object ID	Digital ID	Type	Format	Width	Height	Checksum	BitDepth	Resolution	Colorspace	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Miami Beach Railway Company summer schedule, 1928				Railroads -- Time schedules; Street-railroads	Documents		1928	1920-1930	Florida	Miami-Dade County (Florida)	Miami Beach (Florida)			University of Miami Libraries. Special Collections	The Florida Photograph Collection.	ASM0300	Series:  II Al Samet Photographs	Box No. 6; Folder Title: Photocopies.	http://merrick.library.miami.edu/digitalprojects/copyright.html				asm03000001070001001	Image	image/tiff	595	768	0x587E2604	24 bit color	600dpi	RGB	asm03000001070001001.tif		2006-11-14	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0300/id/20	20	77.jpg	/asm0300/image/77.jpg
Carl G. Fisher playing tennis		Miami Beach developer Carl Fisher plays tennis at the Flamingo Hotel.		Fisher, Carl G. (Carl Graham), 1874-1939; Tennis; Flamingo Hotel (Miami Beach, Florida);	Photographs				Florida	Miami-Dade County (Florida)	Miami Beach (Florida)		1 b&w photograph	University of Miami Libraries. Special Collections	The Florida Photograph Collection.	ASM0300	Series:  II Al Samet Photographs	Box No. 6; Folder Title: Miami Beach: Carl Fisher.	http://merrick.library.miami.edu/digitalprojects/copyright.html				asm03000001450001001	Image	image/tiff	935	768	0x5890A410	24 bit color	600dpi	RGB	asm03000001450001001.tif		2006-11-14	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0300/id/21	21	114.jpg	/asm0300/image/114.jpg
Biltmore Hotel pool		View of the western side of the Biltmore. During its heyday, the Olympic-sized swimming pool was the scene of spectacular swimming shows, with Johnny Weismuller and Esther Williams demonstrating their aquatic talents to admiring throngs.		Miami Biltmore Hotel and Country Club; Hotels; Swimming pools; Tourist attractions	Photographs				Florida	Miami-Dade County (Florida)	Coral Gables (Florida)		1 b&w photograph	University of Miami Libraries. Special Collections	The Florida Photograph Collection.	ASM0300	Series:  I General Photographs	Box No. 1; Folder Title: Coral Gables: Hotels: Atlantic Court-Biltmore Hotel.	http://merrick.library.miami.edu/digitalprojects/copyright.html				asm03000000180001001	Image	image/tiff	562	768	0x71610D4A	24 bit color	600dpi	RGB	asm03000000180001001.tif		2006-11-14	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0300/id/22	22	17.jpg	/asm0300/image/17.jpg
Coral Gables - Douglas Entrance	Walther, John	The four corners of Coral Gables are marked with imposing archway "entrances" such as this one seen here. The Douglas Entrance, at Eighth Street and Douglas Road, is a grand structure also known as Puerta del Sol.	Date stamped on verso: May 25, 1950.	Douglas Road (Coral Gables, Florida); Streets; Entrances of Coral Gables;	Photographs		1950	1950-1960	Florida	Miami-Dade County (Florida)	Coral Gables (Florida)		1 b&w photograph	University of Miami Libraries. Special Collections	The Florida Photograph Collection.	ASM0300	Series:  I General Photographs	Box No. 1; Folder Title: Coral Gables: Buses-Douglas Entrance.	http://merrick.library.miami.edu/digitalprojects/copyright.html				asm03000000200001001	Image	image/tiff	1023	706	0x470C0FA5	24 bit color	600dpi	RGB	asm03000000200001001.tif		2006-11-14	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0300/id/23	23	19.jpg	/asm0300/image/19.jpg
Biltmore Hotel, with Model T's, Lincolns, and other cars in the parking area		When the Biltmore Hotel opened in January of 1926, the "horseless carriage" had become America's most popular extravagance. In this scene, shot from in front of the hotel, Model T's, Lincolns, and other fancy autos line the parking area, while their celebrity passengers enjoy the finer things in life.		Miami Biltmore Hotel and Country Club; Hotels; Tourist attractions;	Photographs		1926	1920-1930	Florida	Miami-Dade County (Florida)	Coral Gables (Florida)		1 b&w photograph	University of Miami Libraries. Special Collections	The Florida Photograph Collection.	ASM0300	Series:  I General Photographs	Box No. 1; Folder Title: Coral Gables: Hotels: Biltmore Hotel.	http://merrick.library.miami.edu/digitalprojects/copyright.html				asm03000000100001001	Image	image/tiff	964	768	0xBB06173D	24 bit color	600dpi	Grayscale	asm03000000100001001.tif		2006-11-14	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0300/id/24	24	9.jpg	/asm0300/image/9.jpg
Trolleys in downtown Miami		Automobiles share the road with two trolley cars, one from Miami Beach (foreground) and one from the city of Miami.		Flagler Street (Miami, Florida);			1925	1920-1930	Florida	Miami-Dade County (Florida)	Miami (Florida)			University of Miami Libraries. Special Collections	The Florida Photograph Collection.	ASM0300	Series:  II Al Samet Photographs	Box No. 6; Folder Title: Miami: Trolley.	http://merrick.library.miami.edu/digitalprojects/copyright.html				asm03000001370001001	Image	image/tiff	618	768	0xFC5A7A3	24 bit color	600dpi	RGB	asm03000001370001001.tif		2006-11-14	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0300/id/25	25	106.jpg	/asm0300/image/106.jpg
Co-eds at the Venetian Pool	Munroe, Ralph, 1851-1933	Seven University of Miami students enjoy the sun at the Venetian Pool.		Venetian Pool (Coral Gables, Florida); Bathing suits; Suntan; Swimming pools;	Photographs	Coral Gables News Bureau	ca. 1937	1930-1940	Florida	Miami-Dade County (Florida)	Coral Gables (Florida)		1 b&w photograph	University of Miami Libraries. Special Collections	The Florida Photograph Collection.	ASM0300	Series:  I General Photographs	Box No. 1; Folder Title: Coral Gables: Venetian Pool-Water Tower.	http://merrick.library.miami.edu/digitalprojects/copyright.html				asm03000000290001001	Image	image/tiff	614	768	0xFA633857	24 bit color	600dpi	RGB	asm03000000290001001.tif		2006-11-14	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0300/id/26	26	28.jpg	/asm0300/image/28.jpg
Miami Beach bathing pavilion		Men in suits and hats pose in front of a Miami Beach bathing pavilion under construction at 23rd Street and Ocean.		Beaches; Building sites; Seaside architecture; Construction workers;	Photographs		1913	1910-1920	Florida	Miami-Dade County (Florida)			1 b&w photograph	University of Miami Libraries. Special Collections	The Florida Photograph Collection.	ASM0300	Series:  II Al Samet Photographs	Box No. 6; Folder Title: Miami Beach.	http://merrick.library.miami.edu/digitalprojects/copyright.html				asm03000001560001001	Image	image/tiff	942	768	0x91D57174	24 bit color	600dpi	RGB	asm03000001560001001.tif		2006-11-14	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0300/id/27	27	124.jpg	/asm0300/image/124.jpg
Coral Gables truck		Truck used by Dammers & Gillette and Harry A. Burnes, selling agents, 1924.		Trucks;	Photographs		1924	1920-1930	Florida	Miami-Dade County (Florida)	Coral Gables (Florida)		1 b&w photograph	University of Miami Libraries. Special Collections	The Florida Photograph Collection.	ASM0300	Series:  II Al Samet Photographs	Box No. 6; Folder Title: Coral Gables.	http://merrick.library.miami.edu/digitalprojects/copyright.html				asm03000001100001001	Image	image/tiff	945	768	0x8C6B5217	24 bit color	600dpi	RGB	asm03000001100001001.tif		2006-11-14	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0300/id/28	28	79.jpg	/asm0300/image/79.jpg
Purchasing power		This spike graph illustrates the rise and fall of public expenditures and purchasing power in Dade County between 1935 and 1965.		Expenditures, Public; Purchasing power; Cost and standard of living; Statistics; Consumption (Economics);	Photographs		1965	1960-1970	Florida	Miami-Dade County (Florida)			1 b&w photograph	University of Miami Libraries. Special Collections	The Florida Photograph Collection.	ASM0300	Series:  I General Photographs	Box No. 2; Folder Title: Miami: Statistics.	http://merrick.library.miami.edu/digitalprojects/copyright.html				asm03000000520001001	Image	image/tiff	622	768	0x23AB9B51	24 bit color	600dpi	RGB	asm03000000520001001.tif		2006-11-14	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0300/id/29	29	51.jpg	/asm0300/image/51.jpg
Canoes made from cypress logs		Two Miccosukees pole a dugout canoe through the Everglades.		Mikasuki Indians;	Photographs				Florida	Miami-Dade County (Florida)	Everglades (Florida)	Everglades, The	1 b&w photograph	University of Miami Libraries. Special Collections	The Florida Photograph Collection.	ASM0300	Series:  I General Photographs	Box No. 1; Folder Title: Canoes made from cypress logs.	http://merrick.library.miami.edu/digitalprojects/copyright.html				asm03000000010001001	Image	image/tiff	1022	707	0xC1245ED9	24 bit color	600dpi	Grayscale	asm03000000010001001.tif		2006-11-14	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0300/id/30	30	1.jpg	/asm0300/image/1.jpg
Miami skyline, March 16, 1957	City of Miami News Bureau	Puffy white clouds drift above the Miami skyline.		Skylines; Boats and boating;	Photographs		1957	1950-1960	Florida	Miami-Dade County (Florida)	Miami (Florida)		1 b&w photograph	University of Miami Libraries. Special Collections	The Florida Photograph Collection.	ASM0300	Series:  I General Photographs	Box No. 2; Folder Title: Miami: Skyline.	http://merrick.library.miami.edu/digitalprojects/copyright.html				asm03000000480001001	Image	image/tiff	962	768	0xD63A1BF8	24 bit color	600dpi	RGB	asm03000000480001001.tif		2006-11-14	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0300/id/31	31	47.jpg	/asm0300/image/47.jpg
