Title	Photographer	Summary	Note	Subject	Genre	Publisher	Date	Coverage	State	County	City	Place	Physical Description	Repository	Collection Title	Collection No.	Series	Container	Copyright	Rights	Directory	Object ID	Digital ID	Type	Format	Width	Height	Checksum	BitDepth	Resolution	Colorspace	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Miami News Building (Freedom Tower)		The Miami News Building (later known as the Freedom Tower when the newspaper folded) towers above a construction site at Bayfront Park.		Freedom Tower (Miami, Florida); Building sites; Biscayne Boulevard (Miami, Florida);	Photographs				Florida	Miami-Dade County (Florida)	Miami (Florida)		1 b&w photograph	University of Miami Libraries. Special Collections	The Florida Photograph Collection.	ASM0300	Series:  I General Photographs	Box No. 2; Folder Title: Miami: Street Scenes: Biscayne Boulevard.	http://merrick.library.miami.edu/digitalprojects/copyright.html				asm03000000540001001	Image	image/tiff	1023	701	0xB392776E	24 bit color	600dpi	RGB	asm03000000540001001.tif		2006-11-14	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0300/id/69	69	53.jpg	/asm0300/image/53.jpg
Gondolas in Collins Canal		Gondolas in the Collins Canal in front of the Hubbell residence.	Henry Salem Hubbell (1870-1949) was a portrait painter. The canal was constructed by pioneer John Stiles Collins (1837-1928).	Collins Canal (Miami Beach, Florida); Boats and boating; Hubbell, Henry Salem -- Homes and haunts; Architecture, Domestic;	Photographs		1930	1930-1940	Florida	Miami-Dade County (Florida)	Miami Beach (Florida)		1 b&w photograph	University of Miami Libraries. Special Collections	The Florida Photograph Collection.	ASM0300	Series:  II Al Samet Photographs	Box No. 6; Folder Title: Miami Beach: Canals.	http://merrick.library.miami.edu/digitalprojects/copyright.html				asm03000001400001001	Image	image/tiff	935	768	0xEEB8D6B8	24 bit color	600dpi	RGB	asm03000001400001001.tif		2006-11-14	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0300/id/70	70	109.jpg	/asm0300/image/109.jpg
Harvey Firestone estate	Gravelle Pictorial News Service	Airplane photo showing the palatial estate of Harvey Firestone in Miami Beach after the 1926 hurricane. The house and buildings were slightly damaged, with most damage done to the landscaping, gardens and sea wall.		Hurricanes; Firestone, Harvey Samuel, 1868-1938 -- Homes and haunts;	Photographs; Aerial views		1926	1920-1930	Florida	Miami-Dade County (Florida)	Miami Beach (Florida)		1 b&w photograph	University of Miami Libraries. Special Collections	The Florida Photograph Collection.	ASM0300	Series:  I General Photographs	Box No. 2; Folder Title: Miami Beach: Hurricanes: Harvey Firestone Estate.	http://merrick.library.miami.edu/digitalprojects/copyright.html				asm03000000590001001	Image	image/tiff	1023	662	0x617C588D	24 bit color	600dpi	RGB	asm03000000590001001.tif		2006-11-14	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0300/id/71	71	58.jpg	/asm0300/image/58.jpg
Downtown Miami: early morning traffic		Two pedestrians hurry across the street as a traffic cop blows his whistle. Visible in the picture are the Hotel McCrory, Ritz Hotel, Rector's Cafe, Kress, and retail stores such as Burdine's Department store and Venetian Isles gems buildings.		City traffic; Central business districts; Shopping centers; Trolley cars; Hotel McCrory (Miami, Florida); Streets;	Photographs		1926	1920-1930	Florida	Miami-Dade County (Florida)	Miami (Florida)		1 b&w photograph	University of Miami Libraries. Special Collections	The Florida Photograph Collection.	ASM0300	Series:  II Al Samet Photographs	Box No. 6; Folder Title: Miami: Downtown.	http://merrick.library.miami.edu/digitalprojects/copyright.html				asm03000001170001001	Image	image/tiff	943	768	0x3919FD4	24 bit color	600dpi	RGB	asm03000001170001001.tif		2006-11-14	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0300/id/72	72	86.jpg	/asm0300/image/86.jpg
Miami's County Causeway		Cars drive along the end of the County Causeway (later MacArthur Causeway) in Miami, 1924.		Automobiles; MacArthur Causeway (Miami, Florida); Causeways;	Photographs		1924	1920-1930	Florida	Miami-Dade County (Florida)	Miami (Florida)		1 b&w photograph	University of Miami Libraries. Special Collections	The Florida Photograph Collection.	ASM0300	Series:  II Al Samet Photographs	Box No. 6; Folder Title: Miami Beach: Causeways.	http://merrick.library.miami.edu/digitalprojects/copyright.html				asm03000001420001001	Image	image/tiff	959	768	0xDF93C96F	24 bit color	600dpi	RGB	asm03000001420001001.tif		2006-11-14	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0300/id/73	73	111.jpg	/asm0300/image/111.jpg
Golfing	City of Miami News Bureau	Three people golfing with two caddies in Miami.		Golf;	Photographs				Florida	Miami-Dade County (Florida)	Miami (Florida)		1 b&w photograph	University of Miami Libraries. Special Collections	The Florida Photograph Collection.	ASM0300	Series:  I General Photographs	Box No. 5; Folder Title: Miami: Golfing.	http://merrick.library.miami.edu/digitalprojects/copyright.html				asm03000001020001001	Image	image/tiff	952	768	0x32F2470B	24 bit color	600dpi	RGB	asm03000001020001001.tif		2006-11-14	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0300/id/74	74	72.jpg	/asm0300/image/72.jpg
Ponce de Leon High School gymnasium	Fishbaugh, W. A. (William A.)	Students in uniform engage in physical education outside Ponce de Leon High School. The boys are lined up, while the girls appear to be doing calisthenics.		Ponce de Leon High School (Coral Gables, Florida); Physical education and training; School buildings;	Photographs		1926	1920-1930	Florida	Miami-Dade County (Florida)	Coral Gables (Florida)		1 b&w photograph	University of Miami Libraries. Special Collections	The Florida Photograph Collection.	ASM0300	Series:  I General Photographs	Box No. 1; Folder Title: Coral Gables: Hotels-Schools.	http://merrick.library.miami.edu/digitalprojects/copyright.html				asm03000000260001001	Image	image/tiff	1022	646	0x2C0E1F58	24 bit color	600dpi	RGB	asm03000000260001001.tif		2006-11-14	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0300/id/75	75	25.jpg	/asm0300/image/25.jpg
Bay Front, Miami		Photograph of the Royal Palm Hotel in Miami; visitors are in the park.		Royal Palm Hotel (Miami, Florida); Hotels	Photographs				Florida	Miami-Dade County (Florida)	Miami (Florida)			University of Miami Libraries. Special Collections	The Florida Photograph Collection.	ASM0300	Series:  I General Photographs	Box No. 2; Folder Title: Miami.	http://merrick.library.miami.edu/digitalprojects/copyright.html				asm03000000380001001	Image	image/tiff	1023	430	0xC11504E5	24 bit color	600dpi	RGB	asm03000000380001001.tif		2006-11-14	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0300/id/76	76	37.jpg	/asm0300/image/37.jpg
Miami Beach: aerial view		Ocean side of Miami Beach, looking north from about First Street.		Shorelines; Beaches;	Photographs; Aerial views		1920	1920-1930	Florida	Miami-Dade County (Florida)	Miami Beach (Florida)		1 b&w photograph	University of Miami Libraries. Special Collections	The Florida Photograph Collection.	ASM0300	Series:  II Al Samet Photographs	Box No. 6; Folder Title: Miami Beach: Aerial Views.	http://merrick.library.miami.edu/digitalprojects/copyright.html				asm03000001390001001	Image	image/tiff	943	768	0x838AFAC0	24 bit color	600dpi	RGB	asm03000001390001001.tif		2006-11-14	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0300/id/77	77	108.jpg	/asm0300/image/108.jpg
Dredge pipes		Dredge pipes in position for filling the low ground at 41st Street.		Building sites; Dredging;	Photographs		1920	1920-1930	Florida	Miami-Dade County (Florida)			1 b&w photograph	University of Miami Libraries. Special Collections	The Florida Photograph Collection.	ASM0300	Series:  II Al Samet Photographs	Box No. 6; Folder Title: Miami Beach.	http://merrick.library.miami.edu/digitalprojects/copyright.html				asm03000001530001001	Image	image/tiff	935	768	0x4AEAB629	24 bit color	600dpi	RGB	asm03000001530001001.tif		2006-11-14	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0300/id/78	78	122.jpg	/asm0300/image/122.jpg
First train into Key West		The first train approaches Key West on the Florida East Coast Railway, January 22, 1912.		Railroads -- Trains; Key West (Florida); Railroad stations; Florida East Coast Railway	Photographs		1912	1910-1920	Florida	Monroe County (Florida)	Key West (Florida)		1 b&w photograph	University of Miami Libraries. Special Collections	The Florida Photograph Collection.	ASM0300	Series:  II Al Samet Photographs	Box No. 6; Folder Title: Key West: Train.	http://merrick.library.miami.edu/digitalprojects/copyright.html				asm03000001220001001	Image	image/tiff	946	768	0xA788A8BF	24 bit color	600dpi	RGB	asm03000001220001001.tif		2006-11-14	2012-10-29	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0300/id/79	79	91.jpg	/asm0300/image/91.jpg
Miami Beach Casino	Mooney	The northern façade of the Roman Pools and Casino on Miami Beach.	The Miami Beach Casino was built in 1914 by the Pancoast family, then purchased in 1916 by Carl Fisher and renamed The Roman Pools.	Roman Pools (Miami Beach, Florida); Tourist attractions; Seaside resorts;	Photographs		ca. 1920-1921	1920-1930	Florida	Miami-Dade County (Florida)	Miami Beach (Florida)		1 b&w photograph	University of Miami Libraries. Special Collections	The Florida Photograph Collection.	ASM0300	Series:  II Al Samet Photographs	Box No. 6; Folder Title: Miami Beach: Casino.	http://merrick.library.miami.edu/digitalprojects/copyright.html				asm03000001410001001	Image	image/tiff	1023	546	0x19794214	24 bit color	600dpi	RGB	asm03000001410001001.tif		2006-11-14	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0300/id/80	80	110.jpg	/asm0300/image/110.jpg
Rod and Reel Club		First permanent home of the famous Rod and Reel Club, which was founded in 1929 after eight anglers, including Cuban sport-fisherman Julio B. Sanchez (1899-1985), met at the Miami Beach Chamber of Commerce to organize a fishing club.		Rod and Reel Club (Miami Beach, Florida); Fishing; Piers; Marinas; Tourist attractions;	Photographs		1929	1920-1930	Florida	Miami-Dade County (Florida)	Miami Beach (Florida)		1 b&w photograph	University of Miami Libraries. Special Collections	The Florida Photograph Collection.	ASM0300	Series:  II Al Samet Photographs	Box No. 6; Folder Title: Miami Beach.	http://merrick.library.miami.edu/digitalprojects/copyright.html				asm03000001500001001	Image	image/tiff	938	768	0xE31EEC5C	24 bit color	600dpi	RGB	asm03000001500001001.tif		2006-11-14	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0300/id/81	81	119.jpg	/asm0300/image/119.jpg
Miami transportation routes		Map showing bus and streetcar facilities from various points to Biscayne Boulevard.		Biscayne Boulevard (Miami, Florida); Trolley cars; Buses; Transportation routes;	Photographs; Maps		1927	1920-1930	Florida	Miami-Dade County (Florida)	Miami (Florida)		1 b&w photograph	University of Miami Libraries. Special Collections	The Florida Photograph Collection.	ASM0300	Series:  II Al Samet Photographs	Box No. 6; Folder Title: Miami: Transportation Routes.	http://merrick.library.miami.edu/digitalprojects/copyright.html				asm03000001340001001	Image	image/tiff	941	768	0xA6101CB3	24 bit color	600dpi	RGB	asm03000001340001001.tif		2006-11-14	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0300/id/82	82	103.jpg	/asm0300/image/103.jpg
Carl Fisher on one of his polo ponies		Miami Beach developer Carl Fisher poses on one of his polo ponies.		Fisher, Carl G. (Carl Graham), 1874-1939; Polo; Horses;	Photographs; Portrait photographs				Florida	Miami-Dade County (Florida)	Miami Beach (Florida)		1 b&w photograph	University of Miami Libraries. Special Collections	The Florida Photograph Collection.	ASM0300	Series:  II Al Samet Photographs	Box No. 6; Folder Title: Miami Beach: Carl Fisher.	http://merrick.library.miami.edu/digitalprojects/copyright.html				asm03000001460001001	Image	image/tiff	938	768	0xB59DE692	24 bit color	600dpi	RGB	asm03000001460001001.tif		2006-11-14	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0300/id/83	83	115.jpg	/asm0300/image/115.jpg
Fox hunt at the Biltmore Hotel, Coral Gables, Florida, ca. 1928				Horses; Outdoor recreation; Miami Biltmore Hotel and Country Club; Tourist attractions;	Photographs		ca. 1928	1920-1930	Florida	Miami-Dade County (Florida)	Coral Gables (Florida)		1 b&w photograph	University of Miami Libraries. Special Collections	The Florida Photograph Collection.	ASM0300	Series:  I General Photographs	Box No. 1; Folder Title: Coral Gables: Hotels: Biltmore Hotel.	http://merrick.library.miami.edu/digitalprojects/copyright.html				asm03000000110001001	Image	image/tiff	1023	745	0x31BFC883	24 bit color	600dpi	Grayscale	asm03000000110001001.tif		2006-11-14	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0300/id/84	84	10.jpg	/asm0300/image/10.jpg
Mangrove roots		This photo shows the mangroves' remarkable roots which twist upward into the air and downward into the water.	Mangrove forests thrive where there is lots of sediment (sand and mud). Mangrove roots can collect enough sediment to extend the edge of the coastline further out.	Trees;	Photographs				Florida	Miami-Dade County (Florida)			1 b&w photograph	University of Miami Libraries. Special Collections	The Florida Photograph Collection.	ASM0300	Series:  I General Photographs	Box No. 2; Folder Title: Mangrove Roots.	http://merrick.library.miami.edu/digitalprojects/copyright.html				asm03000000340001001	Image	image/tiff	977	768	0x255C349F	24 bit color	600dpi	RGB	asm03000000340001001.tif		2006-11-14	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0300/id/85	85	33.jpg	/asm0300/image/33.jpg
Pull lever 21-A van at the Free Press		Citizens Committee for Fair Representation's political advertising on a van parked in front of the building of The Free Press, "South Dade's Only Complete Coverage Family Newspaper."	Photo processed Oct. 21, 1963.	Political campaigns; Advertising, Political; Dade County (Florida). Board of County Commissioners; Local elections;	Photographs	Gort Photo Studio	1963	1960-1970	Florida	Miami-Dade County (Florida)	Miami (Florida)		1 b&w photograph	University of Miami Libraries. Special Collections	The Florida Photograph Collection.	ASM0300	Series:  I General Photographs	Box No. 2; Folder Title: Miami: Elections.	http://merrick.library.miami.edu/digitalprojects/copyright.html				asm03000000420001001	Image	image/tiff	951	768	0xBFCB32DC	24 bit color	600dpi	RGB	asm03000000420001001.tif		2006-11-14	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0300/id/86	86	41.jpg	/asm0300/image/41.jpg
Flamingoes at Hialeah Racetrack	City of Miami News Bureau	Flamingoes and black swans enjoy the water at Hialeah Racetrack.		Flamingos; Swans; Hialeah Park (Hialeah, Florida);	Photographs		ca. 1957	1950-1960	Florida	Miami-Dade County (Florida)	Hialeah (Florida)		1 b&w photograph	University of Miami Libraries. Special Collections	The Florida Photograph Collection.	ASM0300	Series:  I General Photographs	Box No. 1; Folder Title: Hialeah Race Track.	http://merrick.library.miami.edu/digitalprojects/copyright.html				asm03000000330001001	Image	image/tiff	624	768	0x3D764E80	24 bit color	600dpi	RGB	asm03000000330001001.tif		2006-11-14	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0300/id/87	87	32.jpg	/asm0300/image/32.jpg
Pull lever 21-A		Photo of electioneers campaigning for an upcoming election.		Political campaigns; Dade County (Florida). Board of County Commissioners; Local elections; Advertising, Political;	Photographs	Gort Photo Studio	1963	1960-1970	Florida	Miami-Dade County (Florida)			1 b&w photograph	University of Miami Libraries. Special Collections	The Florida Photograph Collection.	ASM0300	Series:  I General Photographs	Box No. 2; Folder Title: Miami: Elections.	http://merrick.library.miami.edu/digitalprojects/copyright.html				asm03000000410001001	Image	image/tiff	933	768	0xC1CAE177	24 bit color	600dpi	RGB	asm03000000410001001.tif		2006-11-14	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0300/id/88	88	40.jpg	/asm0300/image/40.jpg
Matheson Hammock beach		Photograph of a crowd on the sands of Matheson Hammock, near Biscayne Bay. The park features an enclosed man-made lagoon, seen at the left.		Beaches; Matheson Hammock Park (Coral Gables, Florida); Bathing suits; Suntan;	Photographs	City of Miami News Bureau	ca. 1957?	1950-1960	Florida	Miami-Dade County (Florida)	Coral Gables (Florida)		1 b&w photograph	University of Miami Libraries. Special Collections	The Florida Photograph Collection.	ASM0300	Series:  I General Photographs	Box No. 2; Folder Title: Matheson Hammock: Beach.	http://merrick.library.miami.edu/digitalprojects/copyright.html				asm03000000360001001	Image	image/tiff	954	768	0xE51D071F	24 bit color	600dpi	RGB	asm03000000360001001.tif		2006-11-14	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0300/id/89	89	35.jpg	/asm0300/image/35.jpg
Biltmore Hotel: drawing by Chester A. Price		A historic sketch of the Biltmore Hotel, with visitors in the lower left.		Miami Biltmore Hotel and Country Club; Hotels;	Drawings				Florida	Miami-Dade County (Florida)	Coral Gables (Florida)		1 b&w sketch	University of Miami Libraries. Special Collections	The Florida Photograph Collection.	ASM0300	Series:  I General Photographs	Box No. 1; Folder Title: Coral Gables: Hotels: Atlantic Court-Biltmore Hotel.	http://merrick.library.miami.edu/digitalprojects/copyright.html				asm03000000170001001	Image	image/tiff	608	768	0x4AF17CBD	24 bit color	600dpi	RGB	asm03000000170001001.tif		2006-11-14	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0300/id/90	90	16.jpg	/asm0300/image/16.jpg
Pancoast home		"1914 -- Collins Avenue, Pancoast Lake and the home of Thomas J. Pancoast." Boaters are enjoying their canoe on the lake.		Pancoast, Thomas J. (Thomas Jessup), 1865-1941 -- Homes and haunts; Pancoast Lake (Florida); Collins Avenue (Miami Beach, Florida);	Photographs		1914	1910-1920	Florida	Miami-Dade County (Florida)	Miami Beach (Florida)		1 b&w photograph	University of Miami Libraries. Special Collections	The Florida Photograph Collection.	ASM0300	Series:  I General Photographs	Box No. 2; Folder Title: Miami Beach: Pancoast Home.	http://merrick.library.miami.edu/digitalprojects/copyright.html				asm03000000610001001	Image	image/tiff	959	768	0xDCC72D22	24 bit color	600dpi	RGB	asm03000000610001001.tif		2006-11-14	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0300/id/91	91	59.jpg	/asm0300/image/59.jpg
Coral Gables aerial view, looking south		A view of the Gables looking southward. In the foreground is the Coral Gables Waterway Canal. In the upper right is Chapman Field. At the extreme left is Old Cutler Road.		Coral Gables Waterway (Florida); Old Cutler Road (Coral Gables, Florida); Shorelines;	Photographs; Aerial views		ca. 1923	1920-1930	Florida	Miami-Dade County (Florida)	Coral Gables (Florida)		1 b&w photograph	University of Miami Libraries. Special Collections	The Florida Photograph Collection.	ASM0300	Series:  I General Photographs	Box No. 1; Folder Title: Coral Gables: Aerial Views.	http://merrick.library.miami.edu/digitalprojects/copyright.html				asm03000000060001001	Image	image/tiff	942	768	0xCD96B065	24 bit color	600dpi	Grayscale	asm03000000060001001.tif		2006-11-14	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0300/id/92	92	5.jpg	/asm0300/image/5.jpg
Florida East Coast Railroad		Florida East Coast Railroad train no. 438 in Miami.		Florida East Coast Railway; Railroads;	Photographs		1938	1930-1940	Florida	Miami-Dade County (Florida)	Miami (Florida)		1 b&w photograph	University of Miami Libraries. Special Collections	The Florida Photograph Collection.	ASM0300	Series:  I General Photographs	Box No. 1; Folder Title: Florida Railroads.	http://merrick.library.miami.edu/digitalprojects/copyright.html				asm03000000320001001	Image	image/tiff	1023	576	0x4CCF30AE	24 bit color	600dpi	RGB	asm03000000320001001.tif		2006-11-14	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0300/id/93	93	31.jpg	/asm0300/image/31.jpg
Purchasing power and tourist trade		This spike graph illustrates the rise in expenditures among consumers, including tourists, between 1935 and 1965, in Dade County.		Purchasing power; Consumption (Economics); Expenditures, Public; Statistics; Tourism;	Photographs		1965	1960-1970	Florida	Miami-Dade County (Florida)			1 b&w photograph	University of Miami Libraries. Special Collections	The Florida Photograph Collection.	ASM0300	Series:  I General Photographs	Box No. 2; Folder Title: Miami: Statistics.	http://merrick.library.miami.edu/digitalprojects/copyright.html				asm03000000530001001	Image	image/tiff	616	768	0x37AE46AD	24 bit color	600dpi	RGB	asm03000000530001001.tif		2006-11-14	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0300/id/94	94	52.jpg	/asm0300/image/52.jpg
Biscayne Boulevard		Cars drive along a traffic circle at Biscayne Boulevard and 15th Street.		Biscayne Boulevard (Miami, Florida); Automobiles; City traffic;	Photographs		1934	1930-1940	Florida	Miami-Dade County (Florida)	Miami (Florida)		1 b&w tinted photograph	University of Miami Libraries. Special Collections	The Florida Photograph Collection.	ASM0300	Series:  II Al Samet Photographs	Box No. 6; Folder Title: Miami: Street Scenes.	http://merrick.library.miami.edu/digitalprojects/copyright.html				asm03000001290001001	Image	image/tiff	956	768	0xD6D39F0E	24 bit color	600dpi	RGB	asm03000001290001001.tif		2006-11-14	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0300/id/95	95	98.jpg	/asm0300/image/98.jpg
Coral Gables aerial view (1924?)				Streets;	Photographs; Aerial views		ca. 1924	1920-1930	Florida	Miami-Dade County (Florida)	Coral Gables (Florida)		1 b&w photograph	University of Miami Libraries. Special Collections	The Florida Photograph Collection.	ASM0300	Series:  I General Photographs	Box No. 1; Folder Title: Coral Gables: Aerial Views.	http://merrick.library.miami.edu/digitalprojects/copyright.html				asm03000000070001001	Image	image/tiff	945	768	0x719BE3A9	24 bit color	600dpi	Grayscale	asm03000000070001001.tif		2006-11-14	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0300/id/96	96	6.jpg	/asm0300/image/6.jpg
Wolfie's	University of Miami. Office of Student Publications	Wolfie's restaurant, on Collins Avenue, Miami Beach, was popular for its sandwiches and pastries.		Wolfie's Restaurant; Restaurants; Collins Avenue (Miami Beach, Florida);	Photographs		ca. 1950	1950-1960	Florida	Miami-Dade County (Florida)	Miami Beach (Florida)		1 b&w photograph	University of Miami Libraries. Special Collections	The Florida Photograph Collection.	ASM0300	Series:  I General Photographs	Box No. 2; Folder Title: Miami Beach: Restaurants.	http://merrick.library.miami.edu/digitalprojects/copyright.html				asm03000000620001001	Image	image/tiff	581	768	0xA941A6D9	24 bit color	600dpi	RGB	asm03000000620001001.tif		2006-11-14	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0300/id/97	97	60.jpg	/asm0300/image/60.jpg
Biltmore Hotel portico		The portico at the entrance of the Bilmore Hotel.		Miami Biltmore Hotel and Country Club; Hotels;	Photographs				Florida	Miami-Dade County (Florida)	Coral Gables (Florida)		1 color photograph	University of Miami Libraries. Special Collections	The Florida Photograph Collection.	ASM0300	Series:  I General Photographs	Box No. 1; Folder Title: Coral Gables: Hotels: Biltmore Hotel.	http://merrick.library.miami.edu/digitalprojects/copyright.html				asm03000000140001001	Image	image/tiff	1023	728	0xA148937	24 bit color	600dpi	RGB	asm03000000140001001.tif		2006-11-14	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0300/id/98	98	13.jpg	/asm0300/image/13.jpg
Smith's Casino		Visitors to Smith's Casino stroll along "Biscayne Street."		Biscayne Boulevard (Miami, Florida); Smith's Casino (Miami, Florida); Tourist attractions;	Photographs		1909	190-1910	Florida	Miami-Dade County (Florida)	Miami (Florida)			University of Miami Libraries. Special Collections	The Florida Photograph Collection.	ASM0300	Series:  II Al Samet Photographs	Box No. 6; Folder Title: Miami: Street Scenes.	http://merrick.library.miami.edu/digitalprojects/copyright.html				asm03000001300001001	Image	image/tiff	934	768	0xDDFAE7B4	24 bit color	600dpi	RGB	asm03000001300001001.tif		2006-11-14	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0300/id/99	99	99.jpg	/asm0300/image/99.jpg
Indian Creek		Indian Creek, a few blocks north of Pancoast Lake.		Indian Creek (Miami Beach, Florida); Rivers;	Photographs		1919	1910-1920	Florida	Miami-Dade County (Florida)	Miami Beach (Florida)		1 b&w photograph	University of Miami Libraries. Special Collections	The Florida Photograph Collection.	ASM0300	Series:  II Al Samet Photographs	Box No. 6; Folder Title: Miami Beach.	http://merrick.library.miami.edu/digitalprojects/copyright.html				asm03000001580001001	Image	image/tiff	938	768	0xBADB094	24 bit color	600dpi	RGB	asm03000001580001001.tif		2006-11-14	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0300/id/100	100	126.jpg	/asm0300/image/126.jpg
Hurricane damage, 1926		Damage to the County Causeway caused by the hurricane of September 20, 1926.		Hurricanes; Causeways; Railroads;	Photographs		1926	1920-1930	Florida	Miami-Dade County (Florida)			1 b&w photograph	University of Miami Libraries. Special Collections	The Florida Photograph Collection.	ASM0300	Series:  II Al Samet Photographs	Box No. 6; Folder Title: Miami: Hurricanes.	http://merrick.library.miami.edu/digitalprojects/copyright.html				asm03000001240001001	Image	image/tiff	930	768	0xE79E7DEF	24 bit color	600dpi	RGB	asm03000001240001001.tif		2006-11-14	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0300/id/101	101	93.jpg	/asm0300/image/93.jpg
Nautilus Hotel site	Matlack, Claude Carson, 1878-1944	This land was dredged to serve as the site of the Nautilus Hotel.		Building sites; Nautilus Hotel (Miami Beach, Florida);	Photographs		1920	1920-1930	Florida	Miami-Dade County (Florida)	Miami Beach (Florida)		1 b&w photograph	University of Miami Libraries. Special Collections	The Florida Photograph Collection.	ASM0300	Series:  II Al Samet Photographs	Box No. 6; Folder Title: Miami Beach.	http://merrick.library.miami.edu/digitalprojects/copyright.html				asm03000001490001001	Image	image/tiff	952	768	0x62353699	24 bit color	600dpi	RGB	asm03000001490001001.tif		2006-11-14	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0300/id/102	102	118.jpg	/asm0300/image/118.jpg
Children in front of an Overtown shack	Romer, Gleason Waite, 1887-1971			African Americans -- Housing; Architecture, Domestic;	Photographs				Florida	Miami-Dade County (Florida)	Miami (Florida)		1 b&w photograph	University of Miami Libraries. Special Collections	The Florida Photograph Collection.	ASM0300	Series:  I General Photographs	Box No. 4; Folder Title: Miami: Overtown Dwellings.	http://merrick.library.miami.edu/digitalprojects/copyright.html				asm03000000880001001	Image	image/tiff	1023	716	0x92FB48A2	24 bit color	600dpi	RGB	asm03000000880001001.tif		2006-11-14	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0300/id/103	103	66.jpg	/asm0300/image/66.jpg
Lummus Park, aerial view		Aerial view looking north along the ocean front of Miami Beach, with the present Lummus Park in the foreground.		Lummus Park (Florida)	Photographs; Aerial views		1920	1920-1930	Florida	Miami-Dade County (Florida)	Miami Beach (Florida)		1 b&w photograph	University of Miami Libraries. Special Collections	The Florida Photograph Collection.	ASM0300	Series:  II Al Samet Photographs	Box No. 6; Folder Title: Miami Beach: Lummus Park.	http://merrick.library.miami.edu/digitalprojects/copyright.html				asm03000001260001001	Image	image/tiff	940	768	0xB0F68562	24 bit color	600dpi	RGB	asm03000001260001001.tif		2006-11-14	2012-10-29	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0300/id/104	104	95.jpg	/asm0300/image/95.jpg
1303 Brickell Avenue, Miami		Photograph of a house on Brickell Avenue in Miami.	Postmark: Oct. 16, 1936. Handwritten inscription to Mrs. A.V.D. Pierpont, "Violet Bank," Petersburg, Va., on back.	Architecture, Domestic	Photographs		1936	1930-1940	Florida	Miami-Dade County (Florida)	Miami (Florida)		1 b&w postcard	University of Miami Libraries. Special Collections	The Florida Photograph Collection.	ASM0300	Series:  I General Photographs	Box No. 2; Folder Title: Miami.	http://merrick.library.miami.edu/digitalprojects/copyright.html				asm03000000370001001	Image	image/tiff	1023	706	0x2A398ED4	24 bit color	600dpi	RGB	asm03000000370001001.tif		2006-11-14	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0300/id/105	105	36.jpg	/asm0300/image/36.jpg
