Title	Photographer	Contributors	Summary	Note	Subject	Genre	Date	Coverage Temporal	Location	Physical Description	Language	Repository	Collection Title	Collection No.	Series	Container	Copyright	Rights	Editor	Object ID	Hardware	Software	Directory	Digital ID	Type	Format	File Size	Width	Height	Checksum	Color Space	BitDepth	Resolution	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Pat Gale, Tempo cover girl, at the beach	Fisher, Ray			Written on verso: "Pat Gale Tempo Jan, March 1953 cover girl"		Photographs	1953-03	1950-1960	Coral Gables (Florida)	1 b&w photograph; 20.5 x 25.4 cm	ENG	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series V: Students	Box No. 7; Folder No. 13; Folder Title: Students: Tempo Beauties, 1950s	http://merrick.library.miami.edu/digitalprojects/copyright.html	© Ray Fisher. All rights reserved.						asu06420200960001001												2009-06-18	2012-09-13	http://merrick.library.miami.edu:80/cdm/ref/collection/um_students/id/44	44	136.jp2	/um_students/image/136.jp2
Students enjoying the sunshine				Written on verso: "Sun Tan You"		Photographs			Coral Gables (Florida)	1 b&w photograph; 21.6 x 16.7 cm		University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series V: Students	Box No. 1; Folder No. 13; Folder Title: Students: at Beach.	http://merrick.library.miami.edu/digitalprojects/copyright.html							asu06420201400001001												2009-06-18	2011-03-24	http://merrick.library.miami.edu:80/cdm/ref/collection/um_students/id/45	45	102.jp2	/um_students/image/102.jp2
Charlene Hornor				Written on verso: "Charlene Hornor"		Photographs	1951-12-14	1950-1960	Coral Gables (Florida)	1 b&w photograph; 25.4 x 20.7 cm		University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series V: Students	Box No. 4; Folder No. 6; Folder Title: Students: Individuals (H).	http://merrick.library.miami.edu/digitalprojects/copyright.html							asu06420201780001001	Image	image/tiff										2009-06-18	2011-03-24	http://merrick.library.miami.edu:80/cdm/ref/collection/um_students/id/46	46	55.jp2	/um_students/image/55.jp2
Richard Schwartz				Written on verso: "Schwartz, Richard; Hair-Brown; Eyes-Brown; Shirt-White; Tie-Gray; Gown-Black"		Photographs	1961-06	1960-1970	Coral Gables (Florida)	1 b&w photograph; 25.2 x 20.3 cm		University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series V: Students	Box No. 5; Folder No. 2; Folder Title: Students: Individuals (S) (1 of 2).	http://merrick.library.miami.edu/digitalprojects/copyright.html							asu06420201840001001												2009-06-18	2011-03-24	http://merrick.library.miami.edu:80/cdm/ref/collection/um_students/id/47	47	194.jp2	/um_students/image/194.jp2
Photograph of male students		Coral Gables News Bureau		Written on verso: "Standing - Bus Folcher, Clyde Taylor, Henry Warshausky, Cookie Cunningham, Dick Gostowski, Scotty McLachlan"		Photographs			Coral Gables (Florida)	1 b&w photograph; 16.85 x 21.5 cm	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series V: Students	Box No. 2; Folder No. 8; Folder Title: Students: Group Photos (1 of 2).	http://merrick.library.miami.edu/digitalprojects/copyright.html							asu06420200810001001												2009-06-18	2011-03-24	http://merrick.library.miami.edu:80/cdm/ref/collection/um_students/id/48	48	157.jp2	/um_students/image/157.jp2
Mary Caffee				Written on verso: "Caffee, Mary; 10/1961"		Portrait photographs	1961-10	1960-1970	Coral Gables (Florida)	1 b&w photograph; 25.2 x 20.3 cm		University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series V: Students	Box No. 4; Folder No. 1; Folder Title: Students: Individuals (C).	http://merrick.library.miami.edu/digitalprojects/copyright.html							asu06420201750001001												2009-06-18	2011-03-24	http://merrick.library.miami.edu:80/cdm/ref/collection/um_students/id/49	49	103.jp2	/um_students/image/103.jp2
Howdy Dance	Fisher, Ray			Written on verso: "SA Sponsored frosh 'Howdy Dance'"		Photographs	1952	1950-1960	Coral Gables (Florida)	1 b&w photograph; 23.3 x 18.2 cm		University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series V: Students	Box No. 2; Folder No. 1; Folder Title: Students: at Student Union.	http://merrick.library.miami.edu/digitalprojects/copyright.html	© Ray Fisher. All rights reserved.						asu06420201440001001												2009-06-18	2012-09-13	http://merrick.library.miami.edu:80/cdm/ref/collection/um_students/id/50	50	22.jp2	/um_students/image/22.jp2
Junior Prom for the class of 1940	Cohen, Stuart A.			Written on verso: "Junior Prom for graduating seniors (Class 1940); 1st in line is John Noppenberg; 3rd in line (with bow tie) is Geo. Rosner; NOTE this print is in reverse"		Photographs	1940-04-15	1940-1950	Coral Gables (Florida)	1 b&w photograph; 25.4 x 20.6 cm		University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series V: Students	Box No. 1; Folder No. 3; Folder Title: Students: 1920s - 1940s (2 of 2), 1920s	http://merrick.library.miami.edu/digitalprojects/copyright.html							asu06420200330001001												2009-06-18	2011-03-24	http://merrick.library.miami.edu:80/cdm/ref/collection/um_students/id/51	51	115.jp2	/um_students/image/115.jp2
Freshman beach party	Fisher, Ray			Written on verso: "Freshman beach party"		Photographs		1950-1960	Coral Gables (Florida)	1 b&w photograph; 20.6 x 15.8 cm		University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series V: Students	Box No. 2; Folder No. 7; Folder Title: Students: Frosh.	http://merrick.library.miami.edu/digitalprojects/copyright.html	© Ray Fisher. All rights reserved.						asu06420201520001001	Image	image/tiff										2009-06-18	2012-09-13	http://merrick.library.miami.edu:80/cdm/ref/collection/um_students/id/52	52	78.jp2	/um_students/image/78.jp2
William Babis	Brignolo-Baiar			Written on verso: "Beta Delta Beta Wm. Babis"		Photographs		1950-1960	Coral Gables (Florida)	1 b&w photograph; 12.9 x 17.7 cm	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series V: Students	Box No. 3;  Folder No. 9;  Folder Title: Students: Individuals (B) photos/negatives, v.d.	http://merrick.library.miami.edu/digitalprojects/copyright.html							asu06420201670001001												2009-06-18	2011-03-24	http://merrick.library.miami.edu:80/cdm/ref/collection/um_students/id/53	53	62.jp2	/um_students/image/62.jp2
