Scientific Name	Common Name	Synomyns	Contents	Summary	Collector(s)	Collection Date	Serial Structure	Type of Section	Magnification	Note	Comments on Plant	Origin of Plant	Country	Kingdom	Phylum/Division	Class	Order	Family	Genus	Specific Epithet	Authority	Accession Number	Slide Serial	Publisher	Repository	Collection	Subject	Type	Format	Genre	Physical Description	Copyright	Object ID	Digital ID	Microscope	Digital Camera	Software	Date Created	Source File	File Size	Width	Height	Checksum	Color Space	Bit Depth	Resolution	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
A-4 Fruit (x) 4x image 1							Fruit	x	4x	First slide of same section.	TTMa 445.  Bot. Gard. Buitenzorg III Q 22.	Sunda Isl.						Rutaceae	Naringi	crenulata	(Roxb.) Nicolson	Tillson 288	A-4	University of Miami Libraries	University of Miami Department of Biology	Swingle Plant Anatomy Reference Collection	Plant anatomy; Botanical specimens	Image	image/tiff	Microscope slide; Photomicrographs	1 section from 1 glass slide	http://merrick.library.miami.edu/digitalprojects/copyright.html	Tillson288	bio00010179610001	Olympus BX60	Olympus DB71	Olympus DPController		bio00010179610001001.tif	37604372 Bytes	4080	3072	3853049550	RGB	3 Samples Per Pixel	432 Pixels Per Inch		2009-07-02	2009-07-02	http://merrick.library.miami.edu:80/cdm/ref/collection/swingle/id/2647	2647	2648.jp2	/swingle/image/2648.jp2
A-4 Fruit (x) 4x image 2							Fruit	x	4x	Second and last slide of same section.	TTMa 445.  Bot. Gard. Buitenzorg III Q 22.	Sunda Isl.						Rutaceae	Naringi	crenulata	(Roxb.) Nicolson	Tillson 288	A-4	University of Miami Libraries	University of Miami Department of Biology	Swingle Plant Anatomy Reference Collection	Plant anatomy; Botanical specimens	Image	image/tiff	Microscope slide; Photomicrographs	1 section from 1 glass slide	http://merrick.library.miami.edu/digitalprojects/copyright.html	Tillson288	bio00010179610002	Olympus BX60	Olympus DB71	Olympus DPController		bio00010179610002001.tif	37604372 Bytes	4080	3072	1521302717	RGB	3 Samples Per Pixel	432 Pixels Per Inch		2009-07-02	2009-07-02	http://merrick.library.miami.edu:80/cdm/ref/collection/swingle/id/2648	2648	2649.jp2	/swingle/image/2649.jp2
Naringi crenulata (Roxb.) Nicolson (Tillson 288)		Hesperethusa crenulata	fruit (x);	Digitized images of microscopic slices of Naringi crenulata (Roxb.) Nicolson (Tillson 288) plant structures that were stained and permanently mounted to a glass slide.							TTMa 445.  Bot. Gard. Buitenzorg III Q 22.	Sunda Islands					Sapindales	Rutaceae	Naringi	crenulata	(Roxb.) Nicolson	Tillson 288		University of Miami Libraries	University of Miami Department of Biology	Swingle Plant Anatomy Reference Collection	Plant anatomy; Botanical specimens	Image	image/tiff	Microscope slide; Photomicrographs		http://merrick.library.miami.edu/digitalprojects/copyright.html	Tillson288															2009-07-14	2009-08-04	http://merrick.library.miami.edu:80/cdm/ref/collection/swingle/id/2649	2649	2650.cpd	/swingle/image/2650.cpd
B-9 Flower bud (x) 4x image 1					Tillson, A.H.		Flower bud	x	4x	top part(pic 1) third row		Glenn Dale, Maryland, U.S.D.A.						Rutaceae	Fortunella	hindsii		Tillson 43	B-9	University of Miami Libraries	University of Miami Department of Biology	Swingle Plant Anatomy Reference Collection	Plant anatomy; Botanical specimens	Image	image/tiff	Microscope slide; Photomicrographs	1 section from 1 glass slide	http://merrick.library.miami.edu/digitalprojects/copyright.html	Tillson43	bio00010190430001	Olympus BX60	Olympus DB71	Olympus DPController		bio00010190430001001.tif	37604372 Bytes	4080	3072	2064932583	RGB	3 Samples Per Pixel	432 Pixels Per Inch		2009-07-02	2009-07-02	http://merrick.library.miami.edu:80/cdm/ref/collection/swingle/id/2650	2650	2651.jp2	/swingle/image/2651.jp2
B-9 Flower bud (x) 4x image 2					Tillson, A.H.		Flower bud	x	4x	bottom half pic two		Glenn Dale, Maryland, U.S.D.A.						Rutaceae	Fortunella	hindsii		Tillson 43	B-9	University of Miami Libraries	University of Miami Department of Biology	Swingle Plant Anatomy Reference Collection	Plant anatomy; Botanical specimens	Image	image/tiff	Microscope slide; Photomicrographs	1 section from 1 glass slide	http://merrick.library.miami.edu/digitalprojects/copyright.html	Tillson43	bio00010190430002	Olympus BX60	Olympus DB71	Olympus DPController		bio00010190430002001.tif	37604372 Bytes	4080	3072	3361714545	RGB	3 Samples Per Pixel	432 Pixels Per Inch		2009-07-02	2009-07-02	http://merrick.library.miami.edu:80/cdm/ref/collection/swingle/id/2651	2651	2652.jp2	/swingle/image/2652.jp2
Fortunella hindsii  (Tillson 43)			flower bud (x);	Digitized images of microscopic slices of Fortunella hindsii  (Tillson 43) plant structures that were stained and permanently mounted to a glass slide.	Tillson, A.H.							Glenn Dale, Maryland, U.S.D.A.	United States				Sapindales	Rutaceae	Fortunella	hindsii		Tillson 43		University of Miami Libraries	University of Miami Department of Biology	Swingle Plant Anatomy Reference Collection	Plant anatomy; Botanical specimens	Image	image/tiff	Microscope slide; Photomicrographs		http://merrick.library.miami.edu/digitalprojects/copyright.html	Tillson43															2009-07-14	2009-08-04	http://merrick.library.miami.edu:80/cdm/ref/collection/swingle/id/2652	2652	2653.cpd	/swingle/image/2653.cpd
B-2 Flower bud (x) 4x image 1					Venning, F.D.	1/12/1948	Flower bud	x	4x		Flowers, flower buds, fruits.  Navashin's fluid	R.H. Montgomery's Estate, Cutler, FL						Rutaceae	Atalantia	citrioides	Pierre ex Engl. & Prantl.	SV195	B-2	University of Miami Libraries	University of Miami Department of Biology	Swingle Plant Anatomy Reference Collection	Plant anatomy; Botanical specimens	Image	image/tiff	Microscope slide; Photomicrographs	1 section from 1 glass slide	http://merrick.library.miami.edu/digitalprojects/copyright.html	SV195	bio00010021190001	Olympus BX60	Olympus DB71	Olympus DPController		bio00010021190001001.tif	37604372 Bytes	4080	3072	57022109	RGB	3 Samples Per Pixel	432 Pixels Per Inch		2009-07-02	2009-07-02	http://merrick.library.miami.edu:80/cdm/ref/collection/swingle/id/2653	2653	2654.jp2	/swingle/image/2654.jp2
B-3 Flower bud (x) 4x image 1					Venning, F.D.	1/12/1948	Flower bud	x	4x		Flowers, flower buds, fruits.  Navashin's fluid	R.H. Montgomery's Estate, Cutler, FL						Rutaceae	Atalantia	citrioides	Pierre ex Engl. & Prantl.	SV195	B-3	University of Miami Libraries	University of Miami Department of Biology	Swingle Plant Anatomy Reference Collection	Plant anatomy; Botanical specimens	Image	image/tiff	Microscope slide; Photomicrographs	1 section from 1 glass slide	http://merrick.library.miami.edu/digitalprojects/copyright.html	SV195	bio00010021200001	Olympus BX60	Olympus DB71	Olympus DPController		bio00010021200001001.tif	37604372 Bytes	4080	3072	963913067	RGB	3 Samples Per Pixel	432 Pixels Per Inch		2009-07-02	2009-07-02	http://merrick.library.miami.edu:80/cdm/ref/collection/swingle/id/2654	2654	2655.jp2	/swingle/image/2655.jp2
Atalantia citrioides Pierre ex Engl. & Prantl. (SV195)			flower bud (x);	Digitized images of microscopic slices of Atalantia citrioides Pierre ex Engl. & Prantl. (SV195) plant structures that were stained and permanently mounted to a glass slide.	Venning, F.D.	1/12/1948					Flowers, flower buds, fruits.  Navashin's fluid	R.H. Montgomery's Estate, Cutler, Florida	United States				Sapindales	Rutaceae	Atalantia	citrioides	Pierre ex Engl. & Prantl.	SV195		University of Miami Libraries	University of Miami Department of Biology	Swingle Plant Anatomy Reference Collection	Plant anatomy; Botanical specimens	Image	image/tiff	Microscope slide; Photomicrographs		http://merrick.library.miami.edu/digitalprojects/copyright.html	SV195															2009-07-14	2009-08-04	http://merrick.library.miami.edu:80/cdm/ref/collection/swingle/id/2655	2655	2656.cpd	/swingle/image/2656.cpd
A-2 Flower bud (x) 4x image 1					Loefgren, A.	1899	Flower bud	x	4x		Bot. e. Agron. Do Inst. Biol. N.19850.  Tribe Cusparieae.  Handwritten note in catalog: slides missing from collection.	Brazil, Queluz, Sao Paulo.						Rutaceae		sp.		Tillson 434	A-2	University of Miami Libraries	University of Miami Department of Biology	Swingle Plant Anatomy Reference Collection	Plant anatomy; Botanical specimens	Image	image/tiff	Microscope slide; Photomicrographs	1 section from 1 glass slide	http://merrick.library.miami.edu/digitalprojects/copyright.html	Tillson434	bio00010190950001	Olympus BX60	Olympus DB71	Olympus DPController		bio00010190950001001.tif	27376340 Bytes	2976	3066	3459794043	RGB	3 Samples Per Pixel	432 Pixels Per Inch		2009-07-02	2009-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/swingle/id/2656	2656	2657.jp2	/swingle/image/2657.jp2
A-2 Flower bud (x) 4x image 2					Loefgren, A.	1899	Flower bud	x	4x	same slide, different section	Bot. e. Agron. Do Inst. Biol. N.19850.  Tribe Cusparieae.  Handwritten note in catalog: slides missing from collection.	Brazil, Queluz, Sao Paulo.						Rutaceae		sp.		Tillson 434	A-2	University of Miami Libraries	University of Miami Department of Biology	Swingle Plant Anatomy Reference Collection	Plant anatomy; Botanical specimens	Image	image/tiff	Microscope slide; Photomicrographs	1 section from 1 glass slide	http://merrick.library.miami.edu/digitalprojects/copyright.html	Tillson434	bio00010190950002	Olympus BX60	Olympus DB71	Olympus DPController		bio00010190950002001.tif	27376340 Bytes	2976	3066	2085598375	RGB	3 Samples Per Pixel	432 Pixels Per Inch		2009-07-02	2009-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/swingle/id/2657	2657	2658.jp2	/swingle/image/2658.jp2
A-3 Flower bud (x) 4x image 1					Loefgren, A.	1899	Flower bud	x	4x		Bot. e. Agron. Do Inst. Biol. N.19850.  Tribe Cusparieae.  Handwritten note in catalog: slides missing from collection.	Brazil, Queluz, Sao Paulo.						Rutaceae		sp.		Tillson 434	A-3	University of Miami Libraries	University of Miami Department of Biology	Swingle Plant Anatomy Reference Collection	Plant anatomy; Botanical specimens	Image	image/tiff	Microscope slide; Photomicrographs	1 section from 1 glass slide	http://merrick.library.miami.edu/digitalprojects/copyright.html	Tillson434	bio00010190960001	Olympus BX60	Olympus DB71	Olympus DPController		bio00010190960001001.tif	27376340 Bytes	2976	3066	3458980910	RGB	3 Samples Per Pixel	432 Pixels Per Inch		2009-07-02	2009-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/swingle/id/2658	2658	2659.jp2	/swingle/image/2659.jp2
A-3 Flower bud (x) 4x image 2					Loefgren, A.	1899	Flower bud	x	4x	same slide, different section	Bot. e. Agron. Do Inst. Biol. N.19850.  Tribe Cusparieae.  Handwritten note in catalog: slides missing from collection.	Brazil, Queluz, Sao Paulo.						Rutaceae		sp.		Tillson 434	A-3	University of Miami Libraries	University of Miami Department of Biology	Swingle Plant Anatomy Reference Collection	Plant anatomy; Botanical specimens	Image	image/tiff	Microscope slide; Photomicrographs	1 section from 1 glass slide	http://merrick.library.miami.edu/digitalprojects/copyright.html	Tillson434	bio00010190960002	Olympus BX60	Olympus DB71	Olympus DPController		bio00010190960002001.tif	27376340 Bytes	2976	3066	3747914025	RGB	3 Samples Per Pixel	432 Pixels Per Inch		2009-07-02	2009-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/swingle/id/2659	2659	2660.jp2	/swingle/image/2660.jp2
