Scientific Name	Common Name	Synomyns	Contents	Summary	Collector(s)	Collection Date	Serial Structure	Type of Section	Magnification	Note	Comments on Plant	Origin of Plant	Country	Kingdom	Phylum/Division	Class	Order	Family	Genus	Specific Epithet	Authority	Accession Number	Slide Serial	Publisher	Repository	Collection	Subject	Type	Format	Genre	Physical Description	Copyright	Object ID	Digital ID	Microscope	Digital Camera	Software	Date Created	Source File	File Size	Width	Height	Checksum	Color Space	Bit Depth	Resolution	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
A-10 Flower bud (x) 4x image 1					Poilane; 11099	2/7/1924	Flower bud	x	4x		Flower buds, pistils.  Inst. Sci. de Indochine.  Herb. Mus. Paris.	Annam Lang Phoan, Prov. Quang. Tri.						Rutaceae	Murraya	glabra		SV212	A-10	University of Miami Libraries	University of Miami Department of Biology	Swingle Plant Anatomy Reference Collection	Plant anatomy; Botanical specimens	Image	image/tiff	Microscope slide; Photomicrographs	1 section from 1 glass slide	http://merrick.library.miami.edu/digitalprojects/copyright.html	SV212	bio00010027370001	Olympus BX60	Olympus DB71	Olympus DPController		bio00010027370001001.tif	18957900 Bytes	2136	2958	502577333	RGB	3 Samples Per Pixel	432 Pixels Per Inch		2009-07-01	2009-07-01	http://merrick.library.miami.edu:80/cdm/ref/collection/swingle/id/1502	1502	1503.jp2	/swingle/image/1503.jp2
Murraya glabra  (SV212)			flower bud (x);	Digitized images of microscopic slices of Murraya glabra  (SV212) plant structures that were stained and permanently mounted to a glass slide.	Poilane; 11099	2/7/1924					Flower buds, pistils.  Inst. Sci. de Indochine.  Herb. Mus. Paris.	Annam Lang Phoan, Prov. Quang. Tri.	Vietnam				Sapindales	Rutaceae	Murraya	glabra		SV212		University of Miami Libraries	University of Miami Department of Biology	Swingle Plant Anatomy Reference Collection	Plant anatomy; Botanical specimens	Image	image/tiff	Microscope slide; Photomicrographs		http://merrick.library.miami.edu/digitalprojects/copyright.html	SV212															2009-07-14	2009-08-04	http://merrick.library.miami.edu:80/cdm/ref/collection/swingle/id/1503	1503	1504.cpd	/swingle/image/1504.cpd
A-2 Half mature fruit (l) 4x image 1					Robinson, C.B.	July, 1913	Half mature fruit	l	4x		Small fruits, leaf.  Natl. Herb. 654352, representing Dabanus.  Pl. Rumph. Amboyn. No. 3, July, 1913.	[Ambon, Indonesia?]						Sapindaceae	Pometia	pinnata	Forster & Forster f.	SV130	A-2	University of Miami Libraries	University of Miami Department of Biology	Swingle Plant Anatomy Reference Collection	Plant anatomy; Botanical specimens	Image	image/tiff	Microscope slide; Photomicrographs	1 section from 1 glass slide	http://merrick.library.miami.edu/digitalprojects/copyright.html	SV130	bio00010014720001	Olympus BX60	Olympus DB71	Olympus DPController		bio00010014720001001.tif	24001556 Bytes	2604	3072	2136968109	RGB	3 Samples Per Pixel	432 Pixels Per Inch		2009-07-01	2009-07-01	http://merrick.library.miami.edu:80/cdm/ref/collection/swingle/id/1512	1512	1513.jp2	/swingle/image/1513.jp2
A-2 Half mature fruit (l) 4x image 2					Robinson, C.B.	July, 1913	Half mature fruit	l	4x		Small fruits, leaf.  Natl. Herb. 654352, representing Dabanus.  Pl. Rumph. Amboyn. No. 3, July, 1913.	[Ambon, Indonesia?]						Sapindaceae	Pometia	pinnata	Forster & Forster f.	SV130	A-2	University of Miami Libraries	University of Miami Department of Biology	Swingle Plant Anatomy Reference Collection	Plant anatomy; Botanical specimens	Image	image/tiff	Microscope slide; Photomicrographs	1 section from 1 glass slide	http://merrick.library.miami.edu/digitalprojects/copyright.html	SV130	bio00010014720002	Olympus BX60	Olympus DB71	Olympus DPController		bio00010014720002001.tif	37604372 Bytes	4080	3072	1678677387	RGB	3 Samples Per Pixel	432 Pixels Per Inch		2009-07-01	2009-07-01	http://merrick.library.miami.edu:80/cdm/ref/collection/swingle/id/1513	1513	1514.jp2	/swingle/image/1514.jp2
C-7 Two thirds grown fruits (2) (l) 4x image 1					Robinson, C.B.	July, 1913	Two thirds grown fruits (2)	l	4x		Small fruits, leaf.  Natl. Herb. 654352, representing Dabanus.  Pl. Rumph. Amboyn. No. 3, July, 1913.	[Ambon, Indonesia?]						Sapindaceae	Pometia	pinnata	Forster & Forster f.	SV130	C-7	University of Miami Libraries	University of Miami Department of Biology	Swingle Plant Anatomy Reference Collection	Plant anatomy; Botanical specimens	Image	image/tiff	Microscope slide; Photomicrographs	1 section from 1 glass slide	http://merrick.library.miami.edu/digitalprojects/copyright.html	SV130	bio00010014830001	Olympus BX60	Olympus DB71	Olympus DPController		bio00010014830001001.tif	37604372 Bytes	4080	3072	855913335	RGB	3 Samples Per Pixel	432 Pixels Per Inch		2009-07-01	2009-07-01	http://merrick.library.miami.edu:80/cdm/ref/collection/swingle/id/1514	1514	1515.jp2	/swingle/image/1515.jp2
C-7 Two thirds grown fruits (2) (l) 4x image 2					Robinson, C.B.	July, 1913	Two thirds grown fruits (2)	l	4x		Small fruits, leaf.  Natl. Herb. 654352, representing Dabanus.  Pl. Rumph. Amboyn. No. 3, July, 1913.	[Ambon, Indonesia?]						Sapindaceae	Pometia	pinnata	Forster & Forster f.	SV130	C-7	University of Miami Libraries	University of Miami Department of Biology	Swingle Plant Anatomy Reference Collection	Plant anatomy; Botanical specimens	Image	image/tiff	Microscope slide; Photomicrographs	1 section from 1 glass slide	http://merrick.library.miami.edu/digitalprojects/copyright.html	SV130	bio00010014830002	Olympus BX60	Olympus DB71	Olympus DPController		bio00010014830002001.tif	37604372 Bytes	4080	3072	899437986	RGB	3 Samples Per Pixel	432 Pixels Per Inch		2009-07-01	2009-07-01	http://merrick.library.miami.edu:80/cdm/ref/collection/swingle/id/1515	1515	1516.jp2	/swingle/image/1516.jp2
Pometia pinnata Forster & Forster f. (SV130)			half mature fruit (l); two thirds grown fruits (2) (l);	Digitized images of microscopic slices of Pometia pinnata Forster & Forster f. (SV130) plant structures that were stained and permanently mounted to a glass slide.	Robinson, C.B.	July, 1913					Small fruits, leaf.  Natl. Herb. 654352, representing Dabanus.  Pl. Rumph. Amboyn. No. 3, July, 1913.	[Ambon, Indonesia?]	Indonesia					Sapindaceae	Pometia	pinnata	Forster & Forster f.	SV130		University of Miami Libraries	University of Miami Department of Biology	Swingle Plant Anatomy Reference Collection	Plant anatomy; Botanical specimens	Image	image/tiff	Microscope slide; Photomicrographs		http://merrick.library.miami.edu/digitalprojects/copyright.html	SV130															2009-07-14	2009-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/swingle/id/1516	1516	1517.cpd	/swingle/image/1517.cpd
A-12 Pistil (x) 4x image 1					Clemens, J.; Clemens, M.S.; 3263	5/1/1927	Pistil	x	4x	First slide of same section.	2 flowers buds, 2 pistils.  Herb. Mus. Paris.	Annam Tourane and vicinity						Rutaceae	Pleiospermium	littorale		SV223	A-12	University of Miami Libraries	University of Miami Department of Biology	Swingle Plant Anatomy Reference Collection	Plant anatomy; Botanical specimens	Image	image/tiff	Microscope slide; Photomicrographs	1 section from 1 glass slide	http://merrick.library.miami.edu/digitalprojects/copyright.html	SV223	bio00010033830001	Olympus BX60	Olympus DB71	Olympus DPController		bio00010033830001001.tif	37604372 Bytes	4080	3072	870189755	RGB	3 Samples Per Pixel	432 Pixels Per Inch		2009-07-01	2009-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/swingle/id/1517	1517	1518.jp2	/swingle/image/1518.jp2
A-12 Pistil (x) 4x image 2					Clemens, J.; Clemens, M.S.; 3263	5/1/1927	Pistil	x	4x	Second and last slide of same section.	2 flowers buds, 2 pistils.  Herb. Mus. Paris.	Annam Tourane and vicinity						Rutaceae	Pleiospermium	littorale		SV223	A-12	University of Miami Libraries	University of Miami Department of Biology	Swingle Plant Anatomy Reference Collection	Plant anatomy; Botanical specimens	Image	image/tiff	Microscope slide; Photomicrographs	1 section from 1 glass slide	http://merrick.library.miami.edu/digitalprojects/copyright.html	SV223	bio00010033830002	Olympus BX60	Olympus DB71	Olympus DPController		bio00010033830002001.tif	25192508 Bytes	4080	2058	844876592	RGB	3 Samples Per Pixel	432 Pixels Per Inch		2009-07-01	2009-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/swingle/id/1518	1518	1519.jp2	/swingle/image/1519.jp2
A-13 Pistil (x) 4x image 1					Clemens, J.; Clemens, M.S.; 3263	5/1/1927	Pistil	x	4x	First slide of same section.	2 flowers buds, 2 pistils.  Herb. Mus. Paris.	Annam Tourane and vicinity						Rutaceae	Pleiospermium	littorale		SV223	A-13	University of Miami Libraries	University of Miami Department of Biology	Swingle Plant Anatomy Reference Collection	Plant anatomy; Botanical specimens	Image	image/tiff	Microscope slide; Photomicrographs	1 section from 1 glass slide	http://merrick.library.miami.edu/digitalprojects/copyright.html	SV223	bio00010033840001	Olympus BX60	Olympus DB71	Olympus DPController		bio00010033840001001.tif	37604372 Bytes	4080	3072	3014284461	RGB	3 Samples Per Pixel	432 Pixels Per Inch		2009-07-01	2009-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/swingle/id/1519	1519	1520.jp2	/swingle/image/1520.jp2
A-13 Pistil (x) 4x image 2					Clemens, J.; Clemens, M.S.; 3263	5/1/1927	Pistil	x	4x	Second and last slide of same section.	2 flowers buds, 2 pistils.  Herb. Mus. Paris.	Annam Tourane and vicinity						Rutaceae	Pleiospermium	littorale		SV223	A-13	University of Miami Libraries	University of Miami Department of Biology	Swingle Plant Anatomy Reference Collection	Plant anatomy; Botanical specimens	Image	image/tiff	Microscope slide; Photomicrographs	1 section from 1 glass slide	http://merrick.library.miami.edu/digitalprojects/copyright.html	SV223	bio00010033840002	Olympus BX60	Olympus DB71	Olympus DPController		bio00010033840002001.tif	28644332 Bytes	4080	2340	3008750065	RGB	3 Samples Per Pixel	432 Pixels Per Inch		2009-07-01	2009-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/swingle/id/1520	1520	1521.jp2	/swingle/image/1521.jp2
A-14 Pistil (x) 4x image 1					Clemens, J.; Clemens, M.S.; 3263	5/1/1927	Pistil	x	4x	First slide of same section.	2 flowers buds, 2 pistils.  Herb. Mus. Paris.	Annam Tourane and vicinity						Rutaceae	Pleiospermium	littorale		SV223	A-14	University of Miami Libraries	University of Miami Department of Biology	Swingle Plant Anatomy Reference Collection	Plant anatomy; Botanical specimens	Image	image/tiff	Microscope slide; Photomicrographs	1 section from 1 glass slide	http://merrick.library.miami.edu/digitalprojects/copyright.html	SV223	bio00010033850001	Olympus BX60	Olympus DB71	Olympus DPController		bio00010033850001001.tif	37604372 Bytes	4080	3072	2705818809	RGB	3 Samples Per Pixel	432 Pixels Per Inch		2009-07-01	2009-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/swingle/id/1521	1521	1522.jp2	/swingle/image/1522.jp2
A-14 Pistil (x) 4x image 2					Clemens, J.; Clemens, M.S.; 3263	5/1/1927	Pistil	x	4x	Second and last slide of same section.	2 flowers buds, 2 pistils.  Herb. Mus. Paris.	Annam Tourane and vicinity						Rutaceae	Pleiospermium	littorale		SV223	A-14	University of Miami Libraries	University of Miami Department of Biology	Swingle Plant Anatomy Reference Collection	Plant anatomy; Botanical specimens	Image	image/tiff	Microscope slide; Photomicrographs	1 section from 1 glass slide	http://merrick.library.miami.edu/digitalprojects/copyright.html	SV223	bio00010033850002	Olympus BX60	Olympus DB71	Olympus DPController		bio00010033850002001.tif	33951676 Bytes	4056	2790	2802949015	RGB	3 Samples Per Pixel	432 Pixels Per Inch		2009-07-01	2009-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/swingle/id/1522	1522	1523.jp2	/swingle/image/1523.jp2
A-15 Pistil (x) 4x image 1					Clemens, J.; Clemens, M.S.; 3263	5/1/1927	Pistil	x	4x	First slide of same section.	2 flowers buds, 2 pistils.  Herb. Mus. Paris.	Annam Tourane and vicinity						Rutaceae	Pleiospermium	littorale		SV223	A-15	University of Miami Libraries	University of Miami Department of Biology	Swingle Plant Anatomy Reference Collection	Plant anatomy; Botanical specimens	Image	image/tiff	Microscope slide; Photomicrographs	1 section from 1 glass slide	http://merrick.library.miami.edu/digitalprojects/copyright.html	SV223	bio00010033860001	Olympus BX60	Olympus DB71	Olympus DPController		bio00010033860001001.tif	37604372 Bytes	4080	3072	3528249167	RGB	3 Samples Per Pixel	432 Pixels Per Inch		2009-07-01	2009-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/swingle/id/1523	1523	1524.jp2	/swingle/image/1524.jp2
A-15 Pistil (x) 4x image 2					Clemens, J.; Clemens, M.S.; 3263	5/1/1927	Pistil	x	4x	Second and last slide of same section.	2 flowers buds, 2 pistils.  Herb. Mus. Paris.	Annam Tourane and vicinity						Rutaceae	Pleiospermium	littorale		SV223	A-15	University of Miami Libraries	University of Miami Department of Biology	Swingle Plant Anatomy Reference Collection	Plant anatomy; Botanical specimens	Image	image/tiff	Microscope slide; Photomicrographs	1 section from 1 glass slide	http://merrick.library.miami.edu/digitalprojects/copyright.html	SV223	bio00010033860002	Olympus BX60	Olympus DB71	Olympus DPController		bio00010033860002001.tif	37604372 Bytes	4080	3072	2759424483	RGB	3 Samples Per Pixel	432 Pixels Per Inch		2009-07-01	2009-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/swingle/id/1524	1524	1525.jp2	/swingle/image/1525.jp2
A-16 Pistil (x) 4x image 1					Clemens, J.; Clemens, M.S.; 3263	5/1/1927	Pistil	x	4x	First slide of same section.	2 flowers buds, 2 pistils.  Herb. Mus. Paris.	Annam Tourane and vicinity						Rutaceae	Pleiospermium	littorale		SV223	A-16	University of Miami Libraries	University of Miami Department of Biology	Swingle Plant Anatomy Reference Collection	Plant anatomy; Botanical specimens	Image	image/tiff	Microscope slide; Photomicrographs	1 section from 1 glass slide	http://merrick.library.miami.edu/digitalprojects/copyright.html	SV223	bio00010033870001	Olympus BX60	Olympus DB71	Olympus DPController		bio00010033870001001.tif	37604372 Bytes	4080	3072	822882354	RGB	3 Samples Per Pixel	432 Pixels Per Inch		2009-07-01	2009-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/swingle/id/1525	1525	1526.jp2	/swingle/image/1526.jp2
A-16 Pistil (x) 4x image 2					Clemens, J.; Clemens, M.S.; 3263	5/1/1927	Pistil	x	4x	Second and last slide of same section.	2 flowers buds, 2 pistils.  Herb. Mus. Paris.	Annam Tourane and vicinity						Rutaceae	Pleiospermium	littorale		SV223	A-16	University of Miami Libraries	University of Miami Department of Biology	Swingle Plant Anatomy Reference Collection	Plant anatomy; Botanical specimens	Image	image/tiff	Microscope slide; Photomicrographs	1 section from 1 glass slide	http://merrick.library.miami.edu/digitalprojects/copyright.html	SV223	bio00010033870002	Olympus BX60	Olympus DB71	Olympus DPController		bio00010033870002001.tif	37604372 Bytes	4080	3072	3967001481	RGB	3 Samples Per Pixel	432 Pixels Per Inch		2009-07-01	2009-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/swingle/id/1526	1526	1527.jp2	/swingle/image/1527.jp2
B-10 Pistil (l) 4x image 1					Clemens, J.; Clemens, M.S.; 3263	5/1/1927	Pistil	l	4x	First slide of same section.	2 flowers buds, 2 pistils.  Herb. Mus. Paris.	Annam Tourane and vicinity						Rutaceae	Pleiospermium	littorale		SV223	B-10	University of Miami Libraries	University of Miami Department of Biology	Swingle Plant Anatomy Reference Collection	Plant anatomy; Botanical specimens	Image	image/tiff	Microscope slide; Photomicrographs	1 section from 1 glass slide	http://merrick.library.miami.edu/digitalprojects/copyright.html	SV223	bio00010033640001	Olympus BX60	Olympus DB71	Olympus DPController		bio00010033640001001.tif	37604372 Bytes	4080	3072	1354303276	RGB	3 Samples Per Pixel	432 Pixels Per Inch		2009-07-01	2009-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/swingle/id/1527	1527	1528.jp2	/swingle/image/1528.jp2
B-10 Pistil (l) 4x image 2					Clemens, J.; Clemens, M.S.; 3263	5/1/1927	Pistil	l	4x	Second slide in same section.	2 flowers buds, 2 pistils.  Herb. Mus. Paris.	Annam Tourane and vicinity						Rutaceae	Pleiospermium	littorale		SV223	B-10	University of Miami Libraries	University of Miami Department of Biology	Swingle Plant Anatomy Reference Collection	Plant anatomy; Botanical specimens	Image	image/tiff	Microscope slide; Photomicrographs	1 section from 1 glass slide	http://merrick.library.miami.edu/digitalprojects/copyright.html	SV223	bio00010033640002	Olympus BX60	Olympus DB71	Olympus DPController		bio00010033640002001.tif	37604372 Bytes	4080	3072	3170434168	RGB	3 Samples Per Pixel	432 Pixels Per Inch		2009-07-01	2009-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/swingle/id/1528	1528	1529.jp2	/swingle/image/1529.jp2
B-10 Pistil (l) 4x image 3					Clemens, J.; Clemens, M.S.; 3263	5/1/1927	Pistil	l	4x	Third slide of same section.	2 flowers buds, 2 pistils.  Herb. Mus. Paris.	Annam Tourane and vicinity						Rutaceae	Pleiospermium	littorale		SV223	B-10	University of Miami Libraries	University of Miami Department of Biology	Swingle Plant Anatomy Reference Collection	Plant anatomy; Botanical specimens	Image	image/tiff	Microscope slide; Photomicrographs	1 section from 1 glass slide	http://merrick.library.miami.edu/digitalprojects/copyright.html	SV223	bio00010033640003	Olympus BX60	Olympus DB71	Olympus DPController		bio00010033640003001.tif	37604372 Bytes	4080	3072	2379882830	RGB	3 Samples Per Pixel	432 Pixels Per Inch		2009-07-01	2009-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/swingle/id/1529	1529	1530.jp2	/swingle/image/1530.jp2
B-10 Pistil (l) 4x image 4					Clemens, J.; Clemens, M.S.; 3263	5/1/1927	Pistil	l	4x	Fourth slide of same section.	2 flowers buds, 2 pistils.  Herb. Mus. Paris.	Annam Tourane and vicinity						Rutaceae	Pleiospermium	littorale		SV223	B-10	University of Miami Libraries	University of Miami Department of Biology	Swingle Plant Anatomy Reference Collection	Plant anatomy; Botanical specimens	Image	image/tiff	Microscope slide; Photomicrographs	1 section from 1 glass slide	http://merrick.library.miami.edu/digitalprojects/copyright.html	SV223	bio00010033640004	Olympus BX60	Olympus DB71	Olympus DPController		bio00010033640004001.tif	37604372 Bytes	4080	3072	2642876822	RGB	3 Samples Per Pixel	432 Pixels Per Inch		2009-07-01	2009-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/swingle/id/1530	1530	1531.jp2	/swingle/image/1531.jp2
B-10 Pistil (l) 4x image 5					Clemens, J.; Clemens, M.S.; 3263	5/1/1927	Pistil	l	4x	Fifth slide of same section.	2 flowers buds, 2 pistils.  Herb. Mus. Paris.	Annam Tourane and vicinity						Rutaceae	Pleiospermium	littorale		SV223	B-10	University of Miami Libraries	University of Miami Department of Biology	Swingle Plant Anatomy Reference Collection	Plant anatomy; Botanical specimens	Image	image/tiff	Microscope slide; Photomicrographs	1 section from 1 glass slide	http://merrick.library.miami.edu/digitalprojects/copyright.html	SV223	bio00010033640005	Olympus BX60	Olympus DB71	Olympus DPController		bio00010033640005001.tif	37604372 Bytes	4080	3072	4173255689	RGB	3 Samples Per Pixel	432 Pixels Per Inch		2009-07-01	2009-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/swingle/id/1531	1531	1532.jp2	/swingle/image/1532.jp2
B-10 Pistil (l) 4x image 6					Clemens, J.; Clemens, M.S.; 3263	5/1/1927	Pistil	l	4x	Sixth and last slide of same section.	2 flowers buds, 2 pistils.  Herb. Mus. Paris.	Annam Tourane and vicinity						Rutaceae	Pleiospermium	littorale		SV223	B-10	University of Miami Libraries	University of Miami Department of Biology	Swingle Plant Anatomy Reference Collection	Plant anatomy; Botanical specimens	Image	image/tiff	Microscope slide; Photomicrographs	1 section from 1 glass slide	http://merrick.library.miami.edu/digitalprojects/copyright.html	SV223	bio00010033640006	Olympus BX60	Olympus DB71	Olympus DPController		bio00010033640006001.tif	37604372 Bytes	4080	3072	2163818799	RGB	3 Samples Per Pixel	432 Pixels Per Inch		2009-07-01	2009-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/swingle/id/1532	1532	1533.jp2	/swingle/image/1533.jp2
B-11 Pistil (l) 4x image 1					Clemens, J.; Clemens, M.S.; 3263	5/1/1927	Pistil	l	4x	part 1 of section	2 flowers buds, 2 pistils.  Herb. Mus. Paris.	Annam Tourane and vicinity						Rutaceae	Pleiospermium	littorale		SV223	B-11	University of Miami Libraries	University of Miami Department of Biology	Swingle Plant Anatomy Reference Collection	Plant anatomy; Botanical specimens	Image	image/tiff	Microscope slide; Photomicrographs	1 section from 1 glass slide	http://merrick.library.miami.edu/digitalprojects/copyright.html	SV223	bio00010033650001	Olympus BX60	Olympus DB71	Olympus DPController		bio00010033650001001.tif	37604372 Bytes	4080	3072	2136710048	RGB	3 Samples Per Pixel	432 Pixels Per Inch		2009-07-01	2009-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/swingle/id/1533	1533	1534.jp2	/swingle/image/1534.jp2
B-11 Pistil (l) 4x image 2					Clemens, J.; Clemens, M.S.; 3263	5/1/1927	Pistil	l	4x	part 2 of section	2 flowers buds, 2 pistils.  Herb. Mus. Paris.	Annam Tourane and vicinity						Rutaceae	Pleiospermium	littorale		SV223	B-11	University of Miami Libraries	University of Miami Department of Biology	Swingle Plant Anatomy Reference Collection	Plant anatomy; Botanical specimens	Image	image/tiff	Microscope slide; Photomicrographs	1 section from 1 glass slide	http://merrick.library.miami.edu/digitalprojects/copyright.html	SV223	bio00010033650002	Olympus BX60	Olympus DB71	Olympus DPController		bio00010033650002001.tif	37604372 Bytes	4080	3072	573483859	RGB	3 Samples Per Pixel	432 Pixels Per Inch		2009-07-01	2009-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/swingle/id/1534	1534	1535.jp2	/swingle/image/1535.jp2
B-11 Pistil (l) 4x image 3					Clemens, J.; Clemens, M.S.; 3263	5/1/1927	Pistil	l	4x	part 3 of section	2 flowers buds, 2 pistils.  Herb. Mus. Paris.	Annam Tourane and vicinity						Rutaceae	Pleiospermium	littorale		SV223	B-11	University of Miami Libraries	University of Miami Department of Biology	Swingle Plant Anatomy Reference Collection	Plant anatomy; Botanical specimens	Image	image/tiff	Microscope slide; Photomicrographs	1 section from 1 glass slide	http://merrick.library.miami.edu/digitalprojects/copyright.html	SV223	bio00010033650003	Olympus BX60	Olympus DB71	Olympus DPController		bio00010033650003001.tif	33180692 Bytes	3600	3072	2800674376	RGB	3 Samples Per Pixel	432 Pixels Per Inch		2009-07-01	2009-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/swingle/id/1535	1535	1536.jp2	/swingle/image/1536.jp2
B-11 Pistil (l) 4x image 4					Clemens, J.; Clemens, M.S.; 3263	5/1/1927	Pistil	l	4x	part 4 of section	2 flowers buds, 2 pistils.  Herb. Mus. Paris.	Annam Tourane and vicinity						Rutaceae	Pleiospermium	littorale		SV223	B-11	University of Miami Libraries	University of Miami Department of Biology	Swingle Plant Anatomy Reference Collection	Plant anatomy; Botanical specimens	Image	image/tiff	Microscope slide; Photomicrographs	1 section from 1 glass slide	http://merrick.library.miami.edu/digitalprojects/copyright.html	SV223	bio00010033650004	Olympus BX60	Olympus DB71	Olympus DPController		bio00010033650004001.tif	37604372 Bytes	4080	3072	388311560	RGB	3 Samples Per Pixel	432 Pixels Per Inch		2009-07-01	2009-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/swingle/id/1536	1536	1537.jp2	/swingle/image/1537.jp2
B-11 Pistil (l) 4x image 5					Clemens, J.; Clemens, M.S.; 3263	5/1/1927	Pistil	l	4x	part 5 of section	2 flowers buds, 2 pistils.  Herb. Mus. Paris.	Annam Tourane and vicinity						Rutaceae	Pleiospermium	littorale		SV223	B-11	University of Miami Libraries	University of Miami Department of Biology	Swingle Plant Anatomy Reference Collection	Plant anatomy; Botanical specimens	Image	image/tiff	Microscope slide; Photomicrographs	1 section from 1 glass slide	http://merrick.library.miami.edu/digitalprojects/copyright.html	SV223	bio00010033650005	Olympus BX60	Olympus DB71	Olympus DPController		bio00010033650005001.tif	37604372 Bytes	4080	3072	1899601941	RGB	3 Samples Per Pixel	432 Pixels Per Inch		2009-07-01	2009-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/swingle/id/1537	1537	1538.jp2	/swingle/image/1538.jp2
B-11 Pistil (l) 4x image 6					Clemens, J.; Clemens, M.S.; 3263	5/1/1927	Pistil	l	4x	part 6 of section	2 flowers buds, 2 pistils.  Herb. Mus. Paris.	Annam Tourane and vicinity						Rutaceae	Pleiospermium	littorale		SV223	B-11	University of Miami Libraries	University of Miami Department of Biology	Swingle Plant Anatomy Reference Collection	Plant anatomy; Botanical specimens	Image	image/tiff	Microscope slide; Photomicrographs	1 section from 1 glass slide	http://merrick.library.miami.edu/digitalprojects/copyright.html	SV223	bio00010033650006	Olympus BX60	Olympus DB71	Olympus DPController		bio00010033650006001.tif	25881620 Bytes	2808	3072	3537152374	RGB	3 Samples Per Pixel	432 Pixels Per Inch		2009-07-01	2009-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/swingle/id/1538	1538	1539.jp2	/swingle/image/1539.jp2
B-13 Pistil (l) 4x image 1					Clemens, J.; Clemens, M.S.; 3263	5/1/1927	Pistil	l	4x	Part 1 of 6.	2 flowers buds, 2 pistils.  Herb. Mus. Paris.	Annam Tourane and vicinity						Rutaceae	Pleiospermium	littorale		SV223	B-13	University of Miami Libraries	University of Miami Department of Biology	Swingle Plant Anatomy Reference Collection	Plant anatomy; Botanical specimens	Image	image/tiff	Microscope slide; Photomicrographs	1 section from 1 glass slide	http://merrick.library.miami.edu/digitalprojects/copyright.html	SV223	bio00010033670001	Olympus BX60	Olympus DB71	Olympus DPController		bio00010033670001001.tif	17034260 Bytes	1848	3072	1718200889	RGB	3 Samples Per Pixel	432 Pixels Per Inch		2009-07-01	2009-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/swingle/id/1539	1539	1540.jp2	/swingle/image/1540.jp2
B-13 Pistil (l) 4x image 2					Clemens, J.; Clemens, M.S.; 3263	5/1/1927	Pistil	l	4x	Part 2 of 6.	2 flowers buds, 2 pistils.  Herb. Mus. Paris.	Annam Tourane and vicinity						Rutaceae	Pleiospermium	littorale		SV223	B-13	University of Miami Libraries	University of Miami Department of Biology	Swingle Plant Anatomy Reference Collection	Plant anatomy; Botanical specimens	Image	image/tiff	Microscope slide; Photomicrographs	1 section from 1 glass slide	http://merrick.library.miami.edu/digitalprojects/copyright.html	SV223	bio00010033670002	Olympus BX60	Olympus DB71	Olympus DPController		bio00010033670002001.tif	17034260 Bytes	1848	3072	706656539	RGB	3 Samples Per Pixel	432 Pixels Per Inch		2009-07-01	2009-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/swingle/id/1540	1540	1541.jp2	/swingle/image/1541.jp2
B-13 Pistil (l) 4x image 3					Clemens, J.; Clemens, M.S.; 3263	5/1/1927	Pistil	l	4x	Part 3 of 6.	2 flowers buds, 2 pistils.  Herb. Mus. Paris.	Annam Tourane and vicinity						Rutaceae	Pleiospermium	littorale		SV223	B-13	University of Miami Libraries	University of Miami Department of Biology	Swingle Plant Anatomy Reference Collection	Plant anatomy; Botanical specimens	Image	image/tiff	Microscope slide; Photomicrographs	1 section from 1 glass slide	http://merrick.library.miami.edu/digitalprojects/copyright.html	SV223	bio00010033670003	Olympus BX60	Olympus DB71	Olympus DPController		bio00010033670003001.tif	18471956 Bytes	2004	3072	851217167	RGB	3 Samples Per Pixel	432 Pixels Per Inch		2009-07-01	2009-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/swingle/id/1541	1541	1542.jp2	/swingle/image/1542.jp2
