Title	Creator	Contibutors	Summary	Note	Subject	Genre	Publisher	Date	Coverage Temporal	Coverage Spatial	Physical Description	Language	Repository	Collection Title	Collection No.	Series	Container	Donor	Sponsor	Provenance	Rights	Copyright	Editor	Attention	Object No.	Digital ID	Type	Format	Hardware	Software	Directory	File Size	Width	Height	Checksum	BitDepth	Resolution	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Page 8												spa										http://merrick.library.miami.edu/digitalprojects/copyright.html	jmc; cme		0015000005	00150000050012001	Text	image/tiff					3269	4195	0xF4309586			00150000050012001.tif		2012-08-02	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/381	381	382.jp2	/chc0015/image/382.jp2
Page 9												spa										http://merrick.library.miami.edu/digitalprojects/copyright.html	jmc; cme		0015000005	00150000050013001	Text	image/tiff					3269	4180	0x4CC5F6C			00150000050013001.tif		2012-08-02	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/382	382	383.jp2	/chc0015/image/383.jp2
Page 10												spa										http://merrick.library.miami.edu/digitalprojects/copyright.html	jmc; cme		0015000005	00150000050014001	Text	image/tiff					3269	4195	0x40986DEB			00150000050014001.tif		2012-08-02	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/383	383	384.jp2	/chc0015/image/384.jp2
Page 11												spa										http://merrick.library.miami.edu/digitalprojects/copyright.html	jmc; cme		0015000005	00150000050015001	Text	image/tiff					3258	4195	0xEB80FC8C			00150000050015001.tif		2012-08-02	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/384	384	385.jp2	/chc0015/image/385.jp2
Page 12												spa										http://merrick.library.miami.edu/digitalprojects/copyright.html	jmc; cme		0015000005	00150000050016001	Text	image/tiff					3310	4235	0x23EFB580			00150000050016001.tif		2012-08-02	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/385	385	386.jp2	/chc0015/image/386.jp2
Page 13												spa										http://merrick.library.miami.edu/digitalprojects/copyright.html	jmc; cme		0015000005	00150000050017001	Text	image/tiff					3258	4180	0xA6ADD846			00150000050017001.tif		2012-08-02	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/386	386	387.jp2	/chc0015/image/387.jp2
Page 14												spa										http://merrick.library.miami.edu/digitalprojects/copyright.html	jmc; cme		0015000005	00150000050018001	Text	image/tiff					3243	4180	0x98359929			00150000050018001.tif		2012-08-02	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/387	387	388.jp2	/chc0015/image/388.jp2
Page 15												spa										http://merrick.library.miami.edu/digitalprojects/copyright.html	jmc; cme		0015000005	00150000050019001	Text	image/tiff					3258	4180	0xAB36F6A8			00150000050019001.tif		2012-08-02	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/388	388	389.jp2	/chc0015/image/389.jp2
Page 16												spa										http://merrick.library.miami.edu/digitalprojects/copyright.html	jmc; cme		0015000005	00150000050020001	Text	image/tiff					3283	4247	0x356222EA			00150000050020001.tif		2012-08-02	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/389	389	390.jp2	/chc0015/image/390.jp2
Page 17												spa										http://merrick.library.miami.edu/digitalprojects/copyright.html	jmc; cme		0015000005	00150000050021001	Text	image/tiff					3243	4180	0x7F0D9243			00150000050021001.tif		2012-08-02	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/390	390	391.jp2	/chc0015/image/391.jp2
Page 18												spa										http://merrick.library.miami.edu/digitalprojects/copyright.html	jmc; cme		0015000005	00150000050022001	Text	image/tiff					3294	4235	0x9D724235			00150000050022001.tif		2012-08-02	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/391	391	392.jp2	/chc0015/image/392.jp2
