Title	Creator	Summary	Note	Subject	Genre	Date	Coverage - Temporal	Physical Description	Language	Editor	Repository	Collection Title	Collection No.	Series	Container	Copyright	Digital ID	Object ID	File Size	Checksum	Format	Type	Height	Width	Archive	Directory	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Page 54																http://merrick.library.miami.edu/digitalprojects/copyright.html	03560000030054001	chc0356000003	245.954 KB	0xA43B50D1	imgage/tiff	Image	768	483	03560000030054001.tif			2006-11-12	2008-08-12	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/1022	1022	1023.jpg	/chc0356/image/1023.jpg
Page 55																http://merrick.library.miami.edu/digitalprojects/copyright.html	03560000030055001	chc0356000003	392.078 KB	0xAC668BA5	imgage/tiff	Image	665	1022	03560000030055001.tif			2006-11-12	2008-08-12	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/1023	1023	1024.jpg	/chc0356/image/1024.jpg
Page 56																http://merrick.library.miami.edu/digitalprojects/copyright.html	03560000030056001	chc0356000003	245.121 KB	0xD50F7583	imgage/tiff	Image	768	493	03560000030056001.tif			2006-11-12	2008-08-12	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/1024	1024	1025.jpg	/chc0356/image/1025.jpg
Page 57																http://merrick.library.miami.edu/digitalprojects/copyright.html	03560000030057001	chc0356000003	411.429 KB	0x6BBDAB1C	imgage/tiff	Image	670	1023	03560000030057001.tif			2006-11-12	2008-08-12	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/1025	1025	1026.jpg	/chc0356/image/1026.jpg
Page 58																http://merrick.library.miami.edu/digitalprojects/copyright.html	03560000030058001	chc0356000003	239.353 KB	0x2D68A1EA	imgage/tiff	Image	768	489	03560000030058001.tif			2006-11-12	2008-08-12	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/1026	1026	1027.jpg	/chc0356/image/1027.jpg
Page 59																http://merrick.library.miami.edu/digitalprojects/copyright.html	03560000030059001	chc0356000003	388.978 KB	0x8A04FA0A	imgage/tiff	Image	657	1023	03560000030059001.tif			2006-11-12	2008-08-12	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/1027	1027	1028.jpg	/chc0356/image/1028.jpg
Page 60																http://merrick.library.miami.edu/digitalprojects/copyright.html	03560000030060001	chc0356000003	236.549 KB	0x7FE9272F	imgage/tiff	Image	768	493	03560000030060001.tif			2006-11-12	2008-08-12	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/1028	1028	1029.jpg	/chc0356/image/1029.jpg
Page 61																http://merrick.library.miami.edu/digitalprojects/copyright.html	03560000030061001	chc0356000003	220.336 KB	0x64D678D5	imgage/tiff	Image	768	495	03560000030061001.tif			2006-11-12	2008-08-12	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/1029	1029	1030.jpg	/chc0356/image/1030.jpg
Page 62																http://merrick.library.miami.edu/digitalprojects/copyright.html	03560000030062001	chc0356000003	249.13 KB	0x1021CAA2	imgage/tiff	Image	768	504	03560000030062001.tif			2006-11-12	2008-08-12	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/1030	1030	1031.jpg	/chc0356/image/1031.jpg
Page 63																http://merrick.library.miami.edu/digitalprojects/copyright.html	03560000030063001	chc0356000003	249.018 KB	0xEFAED13B	imgage/tiff	Image	768	489	03560000030063001.tif			2006-11-12	2008-08-12	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/1031	1031	1032.jpg	/chc0356/image/1032.jpg
Page 64																http://merrick.library.miami.edu/digitalprojects/copyright.html	03560000030064001	chc0356000003	252.612 KB	0xA5965910	imgage/tiff	Image	768	505	03560000030064001.tif			2006-11-12	2008-08-12	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/1032	1032	1033.jpg	/chc0356/image/1033.jpg
Page 65																http://merrick.library.miami.edu/digitalprojects/copyright.html	03560000030065001	chc0356000003	248.561 KB	0xAD98E500	imgage/tiff	Image	768	485	03560000030065001.tif			2006-11-12	2008-08-12	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/1033	1033	1034.jpg	/chc0356/image/1034.jpg
Page 66																http://merrick.library.miami.edu/digitalprojects/copyright.html	03560000030066001	chc0356000003	257.999 KB	0x2E6F79B6	imgage/tiff	Image	768	480	03560000030066001.tif			2006-11-12	2008-08-12	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/1034	1034	1035.jpg	/chc0356/image/1035.jpg
Page 67																http://merrick.library.miami.edu/digitalprojects/copyright.html	03560000030067001	chc0356000003	213.409 KB	0xE675E0D3	imgage/tiff	Image	768	480	03560000030067001.tif			2006-11-12	2008-08-12	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/1035	1035	1036.jpg	/chc0356/image/1036.jpg
Page 68																http://merrick.library.miami.edu/digitalprojects/copyright.html	03560000030068001	chc0356000003	225.564 KB	0xDE50EB7B	imgage/tiff	Image	768	504	03560000030068001.tif			2006-11-12	2008-08-12	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/1036	1036	1037.jpg	/chc0356/image/1037.jpg
Page 69																http://merrick.library.miami.edu/digitalprojects/copyright.html	03560000030069001	chc0356000003	293.162 KB	0x4F95085	imgage/tiff	Image	768	509	03560000030069001.tif			2006-11-12	2008-08-12	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/1037	1037	1038.jpg	/chc0356/image/1038.jpg
Page 70																http://merrick.library.miami.edu/digitalprojects/copyright.html	03560000030070001	chc0356000003	299.529 KB	0x51AFD86C	imgage/tiff	Image	768	496	03560000030070001.tif			2006-11-12	2008-08-12	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/1038	1038	1039.jpg	/chc0356/image/1039.jpg
Page 71																http://merrick.library.miami.edu/digitalprojects/copyright.html	03560000030071001	chc0356000003	221.404 KB	0xF3417FB9	imgage/tiff	Image	768	501	03560000030071001.tif			2006-11-12	2008-08-12	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/1039	1039	1040.jpg	/chc0356/image/1040.jpg
Page 72																http://merrick.library.miami.edu/digitalprojects/copyright.html	03560000030072001	chc0356000003	224.723 KB	0x3221555F	imgage/tiff	Image	768	493	03560000030072001.tif			2006-11-12	2008-08-12	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/1040	1040	1041.jpg	/chc0356/image/1041.jpg
Page 73																http://merrick.library.miami.edu/digitalprojects/copyright.html	03560000030073001	chc0356000003	295.75 KB	0x1853DD06	imgage/tiff	Image	768	497	03560000030073001.tif			2006-11-12	2008-08-12	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/1041	1041	1042.jpg	/chc0356/image/1042.jpg
Page 74																http://merrick.library.miami.edu/digitalprojects/copyright.html	03560000030074001	chc0356000003	238.898 KB	0xAA1AAC34	imgage/tiff	Image	768	498	03560000030074001.tif			2006-11-12	2008-08-12	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/1042	1042	1043.jpg	/chc0356/image/1043.jpg
Page 75																http://merrick.library.miami.edu/digitalprojects/copyright.html	03560000030075001	chc0356000003	247.699 KB	0x3851967C	imgage/tiff	Image	768	504	03560000030075001.tif			2006-11-12	2008-08-12	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/1043	1043	1044.jpg	/chc0356/image/1044.jpg
Page 76																http://merrick.library.miami.edu/digitalprojects/copyright.html	03560000030076001	chc0356000003	258.236 KB	0x312B01B	imgage/tiff	Image	768	497	03560000030076001.tif			2006-11-12	2008-08-12	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/1044	1044	1045.jpg	/chc0356/image/1045.jpg
Page 77																http://merrick.library.miami.edu/digitalprojects/copyright.html	03560000030077001	chc0356000003	247.168 KB	0x6078B3E4	imgage/tiff	Image	768	493	03560000030077001.tif			2006-11-12	2008-08-12	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/1045	1045	1046.jpg	/chc0356/image/1046.jpg
Empecé a luchar por Cuba el año 30 . . .	Grau de Agüero, Polita, 1915-2000	Speech written by Polita Grau de Agüero that begins with "Empecé a luchar por Cuba el año 30 . . ."		Grau de Agüero, Polita, 1915-2000; Speeches, addresses, etc.; Cuba -- Politics and government	Manuscripts			1 manuscript, 77 pages	spa	oxe	University of Miami Libraries. Cuban Heritage Collection	Polita Grau de Agüero Papers.	CHC0356	Series I. Polita Grau Papers, n.d., 1909-2000 (bulk dates 1978-1994).	Box No. 1  Folder No. 9  Folder Title: Speeches. Folder Date: n.d. 1987-1991	http://merrick.library.miami.edu/digitalprojects/copyright.html		chc0356000003			image/tiff	Text						2013-02-18	2013-02-18	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/1046	1046	1047.cpd	/chc0356/image/1047.cpd
Page 1													CHC0356			http://merrick.library.miami.edu/digitalprojects/copyright.html	03560000010001001	chc0356000001	281.373 KB	0xA8EB75BF	imgage/tiff	Image	768	512	03560000010001001.tif			2006-11-12	2008-08-08	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/1047	1047	1048.jpg	/chc0356/image/1048.jpg
Page 2													CHC0356			http://merrick.library.miami.edu/digitalprojects/copyright.html	03560000010002001	chc0356000001	197.746 KB	0xA504579E	imgage/tiff	Image	768	520	03560000010002001.tif			2006-11-12	2008-08-08	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/1048	1048	1049.jpg	/chc0356/image/1049.jpg
Page 3													CHC0356			http://merrick.library.miami.edu/digitalprojects/copyright.html	03560000010003001	chc0356000001	305.114 KB	0xF11085DA	imgage/tiff	Image	768	521	03560000010003001.tif			2006-11-12	2008-08-08	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/1049	1049	1050.jpg	/chc0356/image/1050.jpg
Page 4													CHC0356			http://merrick.library.miami.edu/digitalprojects/copyright.html	03560000010004001	chc0356000001	234.088 KB	0xD5982E67	imgage/tiff	Image	768	518	03560000010004001.tif			2006-11-12	2008-08-08	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/1050	1050	1051.jpg	/chc0356/image/1051.jpg
Page 5													CHC0356			http://merrick.library.miami.edu/digitalprojects/copyright.html	03560000010005001	chc0356000001	273.002 KB	0x62929DC6	imgage/tiff	Image	768	515	03560000010005001.tif			2006-11-12	2008-08-08	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/1051	1051	1052.jpg	/chc0356/image/1052.jpg
Page 6													CHC0356			http://merrick.library.miami.edu/digitalprojects/copyright.html	03560000010006001	chc0356000001	144.292 KB	0xB469E382	imgage/tiff	Image	768	522	03560000010006001.tif			2006-11-12	2008-08-08	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/1052	1052	1053.jpg	/chc0356/image/1053.jpg
Los hombres como Martí y como Grau . . .	Grau de Agüero, Polita, 1915-2000	Speech written by Polita Grau de Agüero that begins with "Los hombres como Martí y como Grau . . ."		Martí, José1853-1895; Grau San Martín, Ramón, 1887-1969; Speeches, addresses, etc.; Cuba -- History	Manuscripts			1 manuscript, 6 pages	spa	oxe	University of Miami Libraries. Cuban Heritage Collection	Polita Grau de Agüero Papers.	CHC0356	Series I. Polita Grau Papers, n.d., 1909-2000 (bulk dates 1978-1994).	Box No. 1  Folder No. 9  Folder Title: Speeches. Folder Date: n.d. 1987-1991	http://merrick.library.miami.edu/digitalprojects/copyright.html		chc0356000001			image/tiff	Text						2013-02-18	2013-02-18	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/1053	1053	1054.cpd	/chc0356/image/1054.cpd
Page 1																http://merrick.library.miami.edu/digitalprojects/copyright.html	03560000040001001	chc0356000004	357.098 KB	0x3DA0CB49	imgage/tiff	Image	768	581	03560000040001001.tif			2006-11-12	2008-08-13	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/1054	1054	1055.jpg	/chc0356/image/1055.jpg
Page 2																http://merrick.library.miami.edu/digitalprojects/copyright.html	03560000040002001	chc0356000004	365.151 KB	0x7F03C2E8	imgage/tiff	Image	768	583	03560000040002001.tif			2006-11-12	2008-08-13	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/1055	1055	1056.jpg	/chc0356/image/1056.jpg
Page 3																http://merrick.library.miami.edu/digitalprojects/copyright.html	03560000040003011	chc0356000004	378.852 KB	0xB021E7FA	imgage/tiff	Image	768	582	03560000040003011.tif			2006-11-12	2008-08-13	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/1056	1056	1057.jpg	/chc0356/image/1057.jpg
Page 4																http://merrick.library.miami.edu/digitalprojects/copyright.html	03560000040004001	chc0356000004	366.802 KB	0x731063C5	imgage/tiff	Image	768	582	03560000040004001.tif			2006-11-12	2008-08-13	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/1058	1058	1059.jpg	/chc0356/image/1059.jpg
Page 5																http://merrick.library.miami.edu/digitalprojects/copyright.html	03560000040005001	chc0356000004	241.517 KB	0xD9AACC3F	imgage/tiff	Image	768	599	03560000040005001.tif			2006-11-12	2008-08-13	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/1059	1059	1060.jpg	/chc0356/image/1060.jpg
Se necesita muchísimo tiempo para hablar de una de las fechas más importantes de nuestra historia: el 4 de septiembre de 1933 ...	Grau de Agüero, Polita, 1915-2000	Speech written by Polita Grau de Agüero that begins with "Se necesita muchísimo tiempo para hablar de una de las fechas más importantes de nuestra historia: el 4 de septiembre de 1933 ..."		Speeches, addresses, etc.; Cuba -- Politics and government -- 1909-1933	Manuscripts			1 manuscript, 5 pages	spa	oxe	University of Miami Libraries. Cuban Heritage Collection	Polita Grau de Agüero Papers.	CHC0356	Series I. Polita Grau Papers, n.d., 1909-2000 (bulk dates 1978-1994).	Box No. 1  Folder No. 9  Folder Title: Speeches. Folder Date: n.d. 1987-1991	http://merrick.library.miami.edu/digitalprojects/copyright.html		chc0356000004			image/tiff	Text						2013-02-18	2013-02-18	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/1060	1060	1061.cpd	/chc0356/image/1061.cpd
Page 1																http://merrick.library.miami.edu/digitalprojects/copyright.html	03560000070001001	chc0356000007	160.532 KB	0x5B47C529	imgage/tiff	Image	768	476	03560000070001001.tif			2006-11-12	2008-08-20	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/1061	1061	1062.jpg	/chc0356/image/1062.jpg
Page 2																http://merrick.library.miami.edu/digitalprojects/copyright.html	03560000070002001	chc0356000007	191.312 KB	0xF679A3B7	imgage/tiff	Image	768	473	03560000070002001.tif			2006-11-12	2008-08-20	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/1062	1062	1063.jpg	/chc0356/image/1063.jpg
Page 3																http://merrick.library.miami.edu/digitalprojects/copyright.html	03560000070003001	chc0356000007	194.76 KB	0x8B9E9A75	imgage/tiff	Image	768	476	03560000070003001.tif			2006-11-12	2008-08-20	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/1063	1063	1064.jpg	/chc0356/image/1064.jpg
Page 4																http://merrick.library.miami.edu/digitalprojects/copyright.html	03560000070004001	chc0356000007	190.094 KB	0x8216A2C2	imgage/tiff	Image	768	475	03560000070004001.tif			2006-11-12	2008-08-20	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/1064	1064	1065.jpg	/chc0356/image/1065.jpg
Page 5																http://merrick.library.miami.edu/digitalprojects/copyright.html	03560000070005001	chc0356000007	180.543 KB	0x149444AC	imgage/tiff	Image	768	476	03560000070005001.tif			2006-11-12	2008-08-20	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/1065	1065	1066.jpg	/chc0356/image/1066.jpg
Page 6																http://merrick.library.miami.edu/digitalprojects/copyright.html	03560000070006001	chc0356000007	204.417 KB	0xBE80FF11	imgage/tiff	Image	768	475	03560000070006001.tif			2006-11-12	2008-08-20	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/1066	1066	1067.jpg	/chc0356/image/1067.jpg
Song lyrics	Grau de Agüero, Polita, 1915-2000	Handwritten song lyrics by Polita Grau		Songs -- Texts	Manuscripts			1 manuscript, 6 pages	spa	oxe	University of Miami Libraries. Cuban Heritage Collection	Polita Grau de Agüero Papers.	CHC0356	Series I. Polita Grau Papers, n.d., 1909-2000 (bulk dates 1978-1994).	Box No. 1  Folder No. 11  Folder Title: Works by Grau Polita. Folder Date: n.d. 1980-1997	http://merrick.library.miami.edu/digitalprojects/copyright.html		chc0356000007			image/tiff	Text						2013-02-18	2013-02-18	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/1067	1067	1068.cpd	/chc0356/image/1068.cpd
