Title	Alternate Title	Photographer	Contributors	Summary	Note	Subject	Genre	Publisher	Date Original	Coverage Temporal	Coverage Spatial	Physical description	Language	Web Site	Repository	Collection Title	Collection No.	Series	Container	Donor	Sponsor	Provenance	Editor	Attention	Rights	Copyright	Object ID	Upload ID	Digital ID	Type	Date Digital	Format	Hardware	Software	Directory	File Size	Width	Height	Checksum	Color space	BitDepth	Resolution	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Bull riding in Homestead rodeo		Carlebach, Michael L.			Written on slide: "Homestead"	Photography, artistic; Photojournalism; Florida; Rodeos; Homestead (Florida); Bulls; Bull riding; Spectators; Fans (Persons); Cattle; Livestock	Color slides;		1973-02	1970-1980	Homestead (Florida)	1 color slide;	eng		University of Miami Libraries. Special Collections	Micheal L. Carlebach Photography Collection	ASM0530		Box No. 46; Folder Title: Florida Rodeos Tropic Feb 1973				jrn		© Michael Carlebach. All rights reserved.	http://merrick.library.miami.edu/digitalprojects/copyright.html			asm05300047500001001	Image		image/tiff				19657904 Bytes	3161	2070	568008004	RGB	8	2400	asm05300047500001001.tif		2012-02-28	2012-02-28	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0530/id/3702	3702	3439.jp2	/asm0530/image/3439.jp2
University of Miami baseball fan		Carlebach, Michael L.				Photography, artistic; Photojournalism; College sports; Coral Gables (Florida); University of Miami; Hurricanes (Baseball team); Baseball; Baseball fan	Color slides;		1981	1980-1990	Coral Gables (Florida)	1 color slide;	eng		University of Miami Libraries. Special Collections	Micheal L. Carlebach Photography Collection	ASM0530		Box No. 46; Folder Title: UM Athletics 1981 Baseball, Star Players				jrn		© Michael Carlebach. All rights reserved.	http://merrick.library.miami.edu/digitalprojects/copyright.html			asm05300044400001001	Image		image/tiff				34110880 Bytes	1895	3000	2904651852	RGB	16	2400	asm05300044400001001.tif		2012-02-28	2012-02-28	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0530/id/3703	3703	3800.jp2	/asm0530/image/3800.jp2
Calf roping at Florida rodeo		Carlebach, Michael L.				Photography, artistic; Photojournalism; Florida; Rodeos; Calf roping; Homestead (Florida); Spectators; Fans (Persons); Cowboys; Calves; Livestock	Color slides;		1973-02	1970-1980	Florida	1 color slide;	eng		University of Miami Libraries. Special Collections	Micheal L. Carlebach Photography Collection	ASM0530		Box No. 46; Folder Title: Florida Rodeos Tropic Feb 1973				jrn		© Michael Carlebach. All rights reserved.	http://merrick.library.miami.edu/digitalprojects/copyright.html			asm05300047690001001	Image		image/tiff				19729756 Bytes	3138	2093	2241146481	RGB	8	2400	asm05300047690001001.tif		2012-02-28	2012-02-28	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0530/id/3704	3704	3524.jp2	/asm0530/image/3524.jp2
Roof design at coral rock farmhouse in Redlands		Carlebach, Michael L.			Written on slide: "Coral rock farmhouse The Redlands, Fla. Dade County"	Photography, artistic; Photojournalism; Architecture, Domestic; Redland (Florida); Dwellings; Farmhouses; Coral limestone; Stone houses; Plants; Landscape plants; Roofs -- Design and construction	Color slides;				Redland (Florida)	1 color slide;	eng		University of Miami Libraries. Special Collections	Micheal L. Carlebach Photography Collection	ASM0530		Box No. 46; Folder Title: Coral Rock Architecture Tropic Magazine				jrn		© Michael Carlebach. All rights reserved.	http://merrick.library.miami.edu/digitalprojects/copyright.html			asm05300042890001001	Image		image/tiff				18232148 Bytes	2023	3000	2998473089	RGB	8	2400	asm05300042890001001.tif		2012-02-28	2012-02-28	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0530/id/3705	3705	3415.jp2	/asm0530/image/3415.jp2
Reflection of sun on Sunshine Key mangroves		Carlebach, Michael L.			Ohio Key was a small mangrove-covered island between Key West and Key Largo.  The island retained a community of buttonwood, mangroves, and salt ponds to about 1970. Between 1970 and 1973, its name was changed to "Sunshine Key" and changed the northern half of the island into a land fill for a travel trailer park.	Photography, artistic; Photojournalism; Florida Keys (Florida); Sunshine Key (Florida Keys, Florida); Ohio Key (Florida Keys, Florida); Landscape photography; Sun -- Rising and setting; Reflections	Color slides;		1972	1970-1980	Florida Keys (Florida)	1 color slide;	eng		University of Miami Libraries. Special Collections	Micheal L. Carlebach Photography Collection	ASM0530		Box No. 46; Folder Title: Sunshine Key Development Tropic Jan - Feb 1972				jrn		© Michael Carlebach. All rights reserved.	http://merrick.library.miami.edu/digitalprojects/copyright.html			asm05300046770001001	Image		image/tiff				19891824 Bytes	3120	2123	1149201998	RGB	8	2400	asm05300046770001001.tif		2012-02-28	2012-02-28	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0530/id/3706	3706	3819.jp2	/asm0530/image/3819.jp2
El Paso Intelligence Center (EPIC)		Carlebach, Michael L.			Written on slide: "EPIC"	Photography, artistic; Photojournalism; U.S. Customs and Border Protection; United States. Drug Enforcement Administration; Drug traffic -- Mexican-American Border Region; Drug control; El Paso Intelligence Center (EPIC); El Paso (Texas); Control rooms	Color slides;		1978-03	1970-1980	El Paso (Texas)	1 color slide;	eng		University of Miami Libraries. Special Collections	Micheal L. Carlebach Photography Collection	ASM0530		Box No. 46; Folder Title: War on Drugs: El Paso (TX) Intelligence Center, Coast Guard (Miami); London Sunday Times Mag 3/78				jrn		© Michael Carlebach. All rights reserved.	http://merrick.library.miami.edu/digitalprojects/copyright.html			asm05300045540001001	Image		image/tiff				19393308 Bytes	3120	2069	4135549883	RGB	8	2400	asm05300045540001001.tif		2012-02-28	2012-02-28	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0530/id/3707	3707	3715.jp2	/asm0530/image/3715.jp2
Calf roping at Florida rodeo		Carlebach, Michael L.				Photography, artistic; Photojournalism; Florida; Rodeos; Calf roping; Homestead (Florida); Spectators; Fans (Persons); Cowboys; Calves; Livestock	Color slides;		1973-02	1970-1980	Florida	1 color slide;	eng		University of Miami Libraries. Special Collections	Micheal L. Carlebach Photography Collection	ASM0530		Box No. 46; Folder Title: Florida Rodeos Tropic Feb 1973				jrn		© Michael Carlebach. All rights reserved.	http://merrick.library.miami.edu/digitalprojects/copyright.html			asm05300047660001001	Image		image/tiff				19948320 Bytes	3144	2112	2017699429	RGB	8	2400	asm05300047660001001.tif		2012-02-28	2012-02-28	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0530/id/3708	3708	3793.jp2	/asm0530/image/3793.jp2
Bronc rider at Homestead rodeo		Carlebach, Michael L.			Written on slide: "Homestead"	Photography, artistic; Photojournalism; Florida; Rodeos; Homestead (Florida); Bronc riding; Cowboys; Spectators; Fans (Persons)	Color slides;		1973-02	1970-1980	Homestead (Florida)	1 color slide;	eng		University of Miami Libraries. Special Collections	Micheal L. Carlebach Photography Collection	ASM0530		Box No. 46; Folder Title: Florida Rodeos Tropic Feb 1973				jrn		© Michael Carlebach. All rights reserved.	http://merrick.library.miami.edu/digitalprojects/copyright.html			asm05300047110001001	Image		image/tiff				20032088 Bytes	3141	2123	3727019373	RGB	8	2400	asm05300047110001001.tif		2012-02-28	2012-02-28	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0530/id/3709	3709	3560.jp2	/asm0530/image/3560.jp2
U.S. Coast Guard anti-drug task force		Carlebach, Michael L.			Written on slide: "U.S. Coast Guard Anti-drug"	Photography, artistic; Photojournalism;  U.S. Customs and Border Protection; Drug traffic -- United States; Drug control; Boats and boating; Miami (Florida); United States. Coast Guard	Color slides;		1978-03	1970-1980	Miami (Florida	1 color slide;	eng		University of Miami Libraries. Special Collections	Micheal L. Carlebach Photography Collection	ASM0530		Box No. 46; Folder Title: War on Drugs: El Paso (TX) Intelligence Center, Coast Guard (Miami); London Sunday Times Mag 3/78				jrn		© Michael Carlebach. All rights reserved.	http://merrick.library.miami.edu/digitalprojects/copyright.html			asm05300045820001001	Image		image/tiff				19754208 Bytes	3150	2088	4058958244	RGB	8	2400	asm05300045820001001.tif		2012-02-28	2012-02-28	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0530/id/3710	3710	3705.jp2	/asm0530/image/3705.jp2
University of Miami baseball fans waiting for rain delay		Carlebach, Michael L.			Written on slide: "Rain delay Mark Light Stad."	Photography, artistic; Photojournalism; College sports; Coral Gables (Florida); University of Miami; Baseball; Stadiums; Mark Light Field at Alex Rodriguez Park; Rain and rainfall;	Color slides;		1981	1980-1990	Coral Gables (Florida)	1 color slide;	eng		University of Miami Libraries. Special Collections	Micheal L. Carlebach Photography Collection	ASM0530		Box No. 46; Folder Title: UM Athletics 1981 Baseball, Star Players				jrn		© Michael Carlebach. All rights reserved.	http://merrick.library.miami.edu/digitalprojects/copyright.html			asm05300044210001001	Image		image/tiff				37394080 Bytes	3055	2040	1770246830	RGB	16	2400	asm05300044210001001.tif		2012-02-28	2012-02-28	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0530/id/3711	3711	3804.jp2	/asm0530/image/3804.jp2
